"SkyRefNumber","marketingtag"
"127414400004","CGA DATA MAY2015_Dry Led"
"184967200004","CGA DATA MAY2015_Community/Wet Led/Local"
"185003500004","CGA DATA MAY2015_Community/Wet Led/Local"
"184917100004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"119905300004","CGA DATA MAY2015_Dry Led"
"184872400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184919700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184863400004","CGA DATA MAY2015_Community/Wet Led/Local"
"110801500004","CGA DATA MAY2015_Dry Led"
"184929300004","CGA DATA MAY2015_Dry Led"
"184963300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184959800004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184966400004","CGA DATA MAY2015_Dry Led"
"115772700004","CGA DATA MAY2015_Rural Character"
"184865700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184912600004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"132271300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184919400004","CGA DATA MAY2015_Community/Wet Led/Local"
"107598300004","CGA DATA MAY2015_Community/Wet Led/Local"
"136394900004","CGA DATA MAY2015_Rural Character"
"183529600004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184971900004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"141764200004","CGA DATA MAY2015_Community/Wet Led/Local"
"111560300004","CGA DATA MAY2015_Branded Food Pub"
"184869000004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184876400004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"185009000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184959000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184871300004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"129612300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184920500004","CGA DATA MAY2015_Rural Character"
"184989000004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184918200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184832500004","CGA DATA MAY2015_Branded Food Pub"
"184870000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184892800004","CGA DATA MAY2015_Community/Wet Led/Local"
"184977200004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"115106400004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"120136600004","CGA DATA MAY2015_Dry Led"
"185006100004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"142066400004","CGA DATA MAY2015_Dry Led"
"184965300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184778800004","CGA DATA MAY2015_Dry Led"
"184117600004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"116845400004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184881700004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184999000004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"137112500004","CGA DATA MAY2015_Community/Wet Led/Local"
"184796300004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184791500004","CGA DATA MAY2015_Community/Wet Led/Local"
"184791400004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"122871600004","CGA DATA MAY2015_Dry Led"
"184794400004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"181625800004","CGA DATA MAY2015_Community/Wet Led/Local"
"184788000004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184788200004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"140489000004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184807800004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184908900004","CGA DATA MAY2015_Community/Wet Led/Local"
"104664900004","CGA DATA MAY2015_Community/Wet Led/Local"
"184850000004","CGA DATA MAY2015_Dry Led"
"184971800004","CGA DATA MAY2015_Dry Led"
"184811200004","CGA DATA MAY2015_Community/Wet Led/Local"
"141948100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184904100004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184835600004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184865400004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184794600004","CGA DATA MAY2015_Community/Wet Led/Local"
"115944700004","CGA DATA MAY2015_Dry Led"
"118440700004","CGA DATA MAY2015_Community/Wet Led/Local"
"128220400004","CGA DATA MAY2015_Dry Led"
"184783300004","CGA DATA MAY2015_Community/Wet Led/Local"
"128778000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184811800004","CGA DATA MAY2015_Community/Wet Led/Local"
"184777100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184926300004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"112229600004","CGA DATA MAY2015_Community/Wet Led/Local"
"117470500004","CGA DATA MAY2015_Community/Wet Led/Local"
"128263500004","CGA DATA MAY2015_Dry Led"
"184925700004","CGA DATA MAY2015_Dry Led"
"132963200004","CGA DATA MAY2015_Dry Led"
"184807900004","CGA DATA MAY2015_Community/Wet Led/Local"
"181789000004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184807500004","CGA DATA MAY2015_Community/Wet Led/Local"
"134710300004","CGA DATA MAY2015_Dry Led"
"184809100004","CGA DATA MAY2015_Community/Wet Led/Local"
"142357100004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184975700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184828200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184806900004","CGA DATA MAY2015_Community/Wet Led/Local"
"184807000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184924600004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184778100004","CGA DATA MAY2015_Community/Wet Led/Local"
"129519300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184763000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184763600004","CGA DATA MAY2015_Community/Wet Led/Local"
"181488500009","CGA DATA MAY2015_Dry Led"
"120200100004","CGA DATA MAY2015_Dry Led"
"122228100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184766400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184875900004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184877600004","CGA DATA MAY2015_Community/Wet Led/Local"
"184969700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184970100004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184924900004","CGA DATA MAY2015_Community/Wet Led/Local"
"184830500004","CGA DATA MAY2015_Community/Wet Led/Local"
"107298100004","CGA DATA MAY2015_Rural Character"
"184803500004","CGA DATA MAY2015_Community/Wet Led/Local"
"136935200004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184889300004","CGA DATA MAY2015_Dry Led"
"106180400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184822100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184973800004","CGA DATA MAY2015_Community/Wet Led/Local"
"181646800004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184927200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184839100004","CGA DATA MAY2015_Dry Led"
"139469100004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184891300004","CGA DATA MAY2015_Community/Wet Led/Local"
"100242900004","CGA DATA MAY2015_Community/Wet Led/Local"
"136479400004","CGA DATA MAY2015_Dry Led"
"184942000004","CGA DATA MAY2015_Dry Led"
"184942700004","CGA DATA MAY2015_Branded Food Pub"
"183232700004","CGA DATA MAY2015_Dry Led"
"136580200004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184993000004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184982000004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184902700004","CGA DATA MAY2015_Community/Wet Led/Local"
"182000400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184940700004","CGA DATA MAY2015_Community/Wet Led/Local"
"183469300004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184953000004","CGA DATA MAY2015_Dry Led"
"184757300004","CGA DATA MAY2015_Community/Wet Led/Local"
"111348200004","CGA DATA MAY2015_Community/Wet Led/Local"
"127003200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184997800004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"183604000004","CGA DATA MAY2015_Dry Led"
"184861100004","CGA DATA MAY2015_Community/Wet Led/Local"
"111417500004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"181717500004","CGA DATA MAY2015_Community/Wet Led/Local"
"132280200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184860700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184911600004","CGA DATA MAY2015_Community/Wet Led/Local"
"181735500004","CGA DATA MAY2015_Branded Food Pub"
"185005100004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184910400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184951400004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"123896500004","CGA DATA MAY2015_Community/Wet Led/Local"
"110985900004","CGA DATA MAY2015_Community/Wet Led/Local"
"183586400004","CGA DATA MAY2015_Dry Led"
"135419000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184910000004","CGA DATA MAY2015_Dry Led"
"184964600004","CGA DATA MAY2015_Community/Wet Led/Local"
"125565400004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184866100004","CGA DATA MAY2015_Dry Led"
"121208000004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184967600004","CGA DATA MAY2015_Branded Food Pub"
"181671900004","CGA DATA MAY2015_Dry Led"
"184913300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184998400004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"121500100004","CGA DATA MAY2015_Dry Led"
"184966900004","CGA DATA MAY2015_Community/Wet Led/Local"
"184926900004","CGA DATA MAY2015_Community/Wet Led/Local"
"184913500004","CGA DATA MAY2015_Community/Wet Led/Local"
"110793900004","CGA DATA MAY2015_Community/Wet Led/Local"
"184872800004","CGA DATA MAY2015_Community/Wet Led/Local"
"105545800004","CGA DATA MAY2015_Community/Wet Led/Local"
"110959100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184782400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184959700004","CGA DATA MAY2015_Community/Wet Led/Local"
"137736600004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184871600004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"106287400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184837300004","CGA DATA MAY2015_Branded Food Pub"
"125317500004","CGA DATA MAY2015_Dry Led"
"184998500004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"129302300004","CGA DATA MAY2015_Dry Led"
"184932300004","CGA DATA MAY2015_Branded Food Pub"
"184864900004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"185006800004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"183644000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184865600004","CGA DATA MAY2015_Community/Wet Led/Local"
"185002500004","CGA DATA MAY2015_Community/Wet Led/Local"
"184769900004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"101413200004","CGA DATA MAY2015_Community/Wet Led/Local"
"181685700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184823300004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"111723300004","CGA DATA MAY2015_Dry Led"
"184873700004","CGA DATA MAY2015_Branded Food Pub"
"118879200004","CGA DATA MAY2015_Rural Character"
"184781100004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184999500004","CGA DATA MAY2015_Dry Led"
"184873800004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184968000004","CGA DATA MAY2015_Dry Led"
"184940300004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184843900004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184973000004","CGA DATA MAY2015_Dry Led"
"184985900004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"122605700004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"116117200004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"117935400004","CGA DATA MAY2015_Branded Food Pub"
"184945600004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"114206100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184796600004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"138836900004","CGA DATA MAY2015_Community/Wet Led/Local"
"124144100004","CGA DATA MAY2015_Dry Led"
"108225800004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"132680500004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184787500004","CGA DATA MAY2015_Dry Led"
"184784300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184788300004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184954200004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184889700004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184866700004","CGA DATA MAY2015_Branded Food Pub"
"184831100004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184980900004","CGA DATA MAY2015_Community/Wet Led/Local"
"184802200004","CGA DATA MAY2015_Dry Led"
"184826400004","CGA DATA MAY2015_Dry Led"
"184123100004","CGA DATA MAY2015_Branded Food Pub"
"184927100004","CGA DATA MAY2015_Community/Wet Led/Local"
"185340700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184762100004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"119679700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184971000004","CGA DATA MAY2015_Branded Food Pub"
"184951600004","CGA DATA MAY2015_Dry Led"
"138528300004","CGA DATA MAY2015_Dry Led"
"182276000004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"140583300004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184772300004","CGA DATA MAY2015_Branded Food Pub"
"181858400004","CGA DATA MAY2015_Branded Food Pub"
"185007500004","CGA DATA MAY2015_Dry Led"
"184783200004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"110777300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184877300004","CGA DATA MAY2015_Dry Led"
"184785000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184822000004","CGA DATA MAY2015_Dry Led"
"184775300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184785600004","CGA DATA MAY2015_Rural Character"
"184774700004","CGA DATA MAY2015_Community/Wet Led/Local"
"131733300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184774200004","CGA DATA MAY2015_Community/Wet Led/Local"
"120459900004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"118568800004","CGA DATA MAY2015_Community/Wet Led/Local"
"184921900004","CGA DATA MAY2015_Branded Food Pub"
"107429000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184922400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184972600004","CGA DATA MAY2015_Community/Wet Led/Local"
"184776700004","CGA DATA MAY2015_Branded Food Pub"
"184776100004","CGA DATA MAY2015_Community/Wet Led/Local"
"134672900004","CGA DATA MAY2015_Community/Wet Led/Local"
"184775100004","CGA DATA MAY2015_Community/Wet Led/Local"
"133501500004","CGA DATA MAY2015_Dry Led"
"122448400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184922200004","CGA DATA MAY2015_Dry Led"
"184776400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184776900004","CGA DATA MAY2015_Branded Food Pub"
"184776800004","CGA DATA MAY2015_Dry Led"
"184926200004","CGA DATA MAY2015_Dry Led"
"181253500004","CGA DATA MAY2015_Dry Led"
"184773400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184823500004","CGA DATA MAY2015_Dry Led"
"126015600004","CGA DATA MAY2015_Dry Led"
"111667500004","CGA DATA MAY2015_Dry Led"
"122502800004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"129455900004","CGA DATA MAY2015_Dry Led"
"184772800004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"107995200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184782600004","CGA DATA MAY2015_Community/Wet Led/Local"
"184782500004","CGA DATA MAY2015_Dry Led"
"134597000004","CGA DATA MAY2015_Community/Wet Led/Local"
"112063700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184810000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184823400004","CGA DATA MAY2015_Community/Wet Led/Local"
"116895300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184810800004","CGA DATA MAY2015_Dry Led"
"184810400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184782700004","CGA DATA MAY2015_Branded Food Pub"
"107569100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184811000004","CGA DATA MAY2015_Community/Wet Led/Local"
"117421000004","CGA DATA MAY2015_Dry Led"
"184810300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184810200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184771500004","CGA DATA MAY2015_Community/Wet Led/Local"
"183597500004","CGA DATA MAY2015_Community/Wet Led/Local"
"108882400004","CGA DATA MAY2015_Community/Wet Led/Local"
"185204900004","CGA DATA MAY2015_Dry Led"
"131444900004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184772200004","CGA DATA MAY2015_Dry Led"
"184925800004","CGA DATA MAY2015_Dry Led"
"184822600004","CGA DATA MAY2015_Community/Wet Led/Local"
"184878800004","CGA DATA MAY2015_Community/Wet Led/Local"
"113746700004","CGA DATA MAY2015_Rural Character"
"111569500004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184770500004","CGA DATA MAY2015_Community/Wet Led/Local"
"141854100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184780700004","CGA DATA MAY2015_Branded Food Pub"
"184926100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184781500004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184781700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184781200004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184768700004","CGA DATA MAY2015_Community/Wet Led/Local"
"106426800004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184769700004","CGA DATA MAY2015_Branded Food Pub"
"130943900004","CGA DATA MAY2015_Dry Led"
"184926400004","CGA DATA MAY2015_Community/Wet Led/Local"
"125319800004","CGA DATA MAY2015_Community/Wet Led/Local"
"184769300004","CGA DATA MAY2015_Dry Led"
"184807400004","CGA DATA MAY2015_Branded Food Pub"
"184808100004","CGA DATA MAY2015_Dry Led"
"107686200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184809300004","CGA DATA MAY2015_Community/Wet Led/Local"
"137599500004","CGA DATA MAY2015_Community/Wet Led/Local"
"121886300004","CGA DATA MAY2015_Dry Led"
"184809200004","CGA DATA MAY2015_Dry Led"
"184809400004","CGA DATA MAY2015_Branded Food Pub"
"181662000004","CGA DATA MAY2015_Branded Food Pub"
"100015300454","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184975800004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"131066200004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184880900004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"100164700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184822200004","CGA DATA MAY2015_Dry Led"
"184822900004","CGA DATA MAY2015_Community/Wet Led/Local"
"184972100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184976400004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184928500004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184880600004","CGA DATA MAY2015_Community/Wet Led/Local"
"184827800004","CGA DATA MAY2015_Community/Wet Led/Local"
"184976200004","CGA DATA MAY2015_Community/Wet Led/Local"
"185341200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184779600004","CGA DATA MAY2015_Community/Wet Led/Local"
"184779500004","CGA DATA MAY2015_Community/Wet Led/Local"
"130974200004","CGA DATA MAY2015_Dry Led"
"184767100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184780400004","CGA DATA MAY2015_Rural Character"
"184978600004","CGA DATA MAY2015_Community/Wet Led/Local"
"136132400004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184767700004","CGA DATA MAY2015_Dry Led"
"111098300004","CGA DATA MAY2015_Dry Led"
"184779800004","CGA DATA MAY2015_Community/Wet Led/Local"
"118244700004","CGA DATA MAY2015_Dry Led"
"184780500004","CGA DATA MAY2015_Community/Wet Led/Local"
"184780600004","CGA DATA MAY2015_Dry Led"
"184805500004","CGA DATA MAY2015_Dry Led"
"184806000004","CGA DATA MAY2015_Dry Led"
"184767600004","CGA DATA MAY2015_Community/Wet Led/Local"
