outletSubAccountNumber,nbaCode,action
183835900004,NBA_0040,RP
116911000004,NBA_0040,RP
182295900004,NBA_0040,RP
102401200004,NBA_0040,RP
183959400004,NBA_0040,RP
186966500004,NBA_0040,RP
185815100004,NBA_0040,RP
103636400004,NBA_0040,RP
186520100004,NBA_0040,RP
184398400004,NBA_0040,RP
108181300004,NBA_0040,RP
180584300004,NBA_0040,RP
184188800004,NBA_0040,RP
186125500004,NBA_0040,RP
126941900004,NBA_0040,RP
184714900004,NBA_0040,RP
129558100004,NBA_0040,RP
184671100004,NBA_0040,RP
186980100004,NBA_0040,RP
185298900004,NBA_0040,RP
122078100004,NBA_0040,RP
141923100004,NBA_0040,RP
181404400004,NBA_0040,RP
185266400004,NBA_0040,RP
100922100004,NBA_0040,RP
184197300004,NBA_0040,RP
186445100004,NBA_0040,RP
101175700004,NBA_0040,RP
139621100004,NBA_0040,RP
186574600004,NBA_0040,RP
120440700004,NBA_0040,RP
183131100004,NBA_0040,RP
181161200004,NBA_0040,RP
180873100004,NBA_0040,RP
109984600004,NBA_0040,RP
180089100004,NBA_0040,RP
182773700004,NBA_0040,RP
185472800004,NBA_0040,RP
186208300004,NBA_0040,RP
139660300004,NBA_0040,RP
186641600004,NBA_0040,RP
185873200004,NBA_0040,RP
102975400004,NBA_0040,RP
180080200004,NBA_0040,RP
186649600004,NBA_0040,RP
181992900004,NBA_0040,RP
102677000004,NBA_0040,RP
105381900004,NBA_0040,RP
184407100004,NBA_0040,RP
186427300004,NBA_0040,RP
134401100004,NBA_0040,RP
106005600004,NBA_0040,RP
105003500004,NBA_0040,RP
185077500004,NBA_0040,RP
100618400004,NBA_0040,RP
101182100004,NBA_0040,RP
180745000004,NBA_0040,RP
186486000004,NBA_0040,RP
182891700004,NBA_0040,RP
138859400004,NBA_0040,RP
187014300004,NBA_0040,RP
106946300004,NBA_0040,RP
185386400004,NBA_0040,RP
184705400004,NBA_0040,RP
122318000004,NBA_0040,RP
186832000004,NBA_0040,RP
182578600004,NBA_0040,RP
186169500004,NBA_0040,RP
185421700004,NBA_0040,RP
104599200004,NBA_0040,RP
124711200004,NBA_0040,RP
142327100004,NBA_0040,RP
184546200004,NBA_0040,RP
186740700004,NBA_0040,RP
180400200004,NBA_0040,RP
180809400004,NBA_0040,RP
186310800004,NBA_0040,RP
101957200004,NBA_0040,RP
105095100004,NBA_0040,RP
183130300004,NBA_0040,RP
105451600004,NBA_0040,RP
186678700004,NBA_0040,RP
186352900004,NBA_0040,RP
134974300004,NBA_0040,RP
185501000004,NBA_0040,RP
185901800004,NBA_0040,RP
185587900004,NBA_0040,RP
182774400004,NBA_0040,RP
182791400004,NBA_0040,RP
186296800004,NBA_0040,RP
139916100004,NBA_0040,RP
182993100004,NBA_0040,RP
186256600004,NBA_0040,RP
186237300004,NBA_0040,RP
105891100004,NBA_0040,RP
102553100004,NBA_0040,RP
186551900004,NBA_0040,RP
184691700004,NBA_0040,RP
115948400004,NBA_0040,RP
183525000004,NBA_0040,RP
130127600004,NBA_0040,RP
101131700004,NBA_0040,RP
186473800004,NBA_0040,RP
183001600004,NBA_0040,RP
185580900004,NBA_0040,RP
186940300004,NBA_0040,RP
136552500004,NBA_0040,RP
181398300004,NBA_0040,RP
181336500004,NBA_0040,RP
184380500004,NBA_0040,RP
102163700004,NBA_0040,RP
185840000004,NBA_0040,RP
105817300004,NBA_0040,RP
105503900004,NBA_0040,RP
102322900004,NBA_0040,RP
184515700004,NBA_0040,RP
184540500004,NBA_0040,RP
133593700004,NBA_0040,RP
129323000004,NBA_0040,RP
109891100004,NBA_0040,RP
186290000004,NBA_0040,RP
103117000004,NBA_0040,RP
185285300004,NBA_0040,RP
132097500004,NBA_0040,RP
112111000004,NBA_0040,RP
184364800004,NBA_0040,RP
182592800004,NBA_0040,RP
187004800004,NBA_0040,RP
186971400004,NBA_0040,RP
184336700004,NBA_0040,RP
105858500004,NBA_0040,RP
180880500004,NBA_0040,RP
186192000004,NBA_0040,RP
139643900004,NBA_0040,RP
136344700004,NBA_0040,RP
183208300004,NBA_0040,RP
183546500004,NBA_0040,RP
101719000004,NBA_0040,RP
185368900004,NBA_0040,RP
112079700004,NBA_0040,RP
104413500004,NBA_0040,RP
181481400004,NBA_0040,RP
184392700004,NBA_0040,RP
100820600004,NBA_0040,RP
101974900004,NBA_0040,RP
131087200004,NBA_0040,RP
186997400004,NBA_0040,RP
186688600004,NBA_0040,RP
186521100004,NBA_0040,RP
102625000004,NBA_0040,RP
116823500004,NBA_0040,RP
110669000004,NBA_0040,RP
184032900004,NBA_0040,RP
186422500004,NBA_0040,RP
103191200004,NBA_0040,RP
184584100004,NBA_0040,RP
185506600004,NBA_0040,RP
183850700004,NBA_0040,RP
186958100004,NBA_0040,RP
104789900004,NBA_0040,RP
101637600004,NBA_0040,RP
183473000004,NBA_0040,RP
129299600004,NBA_0040,RP
184218100004,NBA_0040,RP
104698300004,NBA_0040,RP
186636200004,NBA_0040,RP
186191800004,NBA_0040,RP
180413800004,NBA_0040,RP
182091400004,NBA_0040,RP
136800200004,NBA_0040,RP
182080600004,NBA_0040,RP
105412000004,NBA_0040,RP
181356900004,NBA_0040,RP
185362100004,NBA_0040,RP
180048600004,NBA_0040,RP
135777700004,NBA_0040,RP
140061100004,NBA_0040,RP
184402400004,NBA_0040,RP
102087900004,NBA_0040,RP
184160900004,NBA_0040,RP
181377900004,NBA_0040,RP
182488200004,NBA_0040,RP
185223300004,NBA_0040,RP
182177100004,NBA_0040,RP
103589300004,NBA_0040,RP
180944400004,NBA_0040,RP
186548300004,NBA_0040,RP
103483600004,NBA_0040,RP
182320900004,NBA_0040,RP
187009000004,NBA_0040,RP
181338500004,NBA_0040,RP
185016200004,NBA_0040,RP
184622300004,NBA_0040,RP
184586300004,NBA_0040,RP
136685200004,NBA_0040,RP
181140700004,NBA_0040,RP
104544300004,NBA_0040,RP
184620800004,NBA_0040,RP
186189400004,NBA_0040,RP
186148200004,NBA_0040,RP
101038500004,NBA_0040,RP
141943900004,NBA_0040,RP
180968700004,NBA_0040,RP
185780900004,NBA_0040,RP
186907800004,NBA_0040,RP
180282100004,NBA_0040,RP
186026200004,NBA_0040,RP
182142800004,NBA_0040,RP
180605400004,NBA_0040,RP
134322600004,NBA_0040,RP
104683400004,NBA_0040,RP
186289700004,NBA_0040,RP
180265000004,NBA_0040,RP
186080400004,NBA_0040,RP
103050500004,NBA_0040,RP
185847800004,NBA_0040,RP
180347800004,NBA_0040,RP
185993700004,NBA_0040,RP
185299500004,NBA_0040,RP
103989900004,NBA_0040,RP
103818900004,NBA_0040,RP
180184400004,NBA_0040,RP
104789500004,NBA_0040,RP
101263000004,NBA_0040,RP
186250600004,NBA_0040,RP
183020000004,NBA_0040,RP
183639400004,NBA_0040,RP
115990100004,NBA_0040,RP
186996000004,NBA_0040,RP
100606600004,NBA_0040,RP
186572700004,NBA_0040,RP
111939100004,NBA_0040,RP
184394700004,NBA_0040,RP
125319800004,NBA_0040,RP
103949900004,NBA_0040,RP
185774000004,NBA_0040,RP
104182100004,NBA_0040,RP
184401900004,NBA_0040,RP
181385200004,NBA_0040,RP
101698000004,NBA_0040,RP
181324600004,NBA_0040,RP
186781800004,NBA_0040,RP
100474400004,NBA_0040,RP
182759300004,NBA_0040,RP
101508900004,NBA_0040,RP
185032300004,NBA_0040,RP
100643900004,NBA_0040,RP
136973300004,NBA_0040,RP
100612300004,NBA_0040,RP
185758700004,NBA_0040,RP
141209500004,NBA_0040,RP
136359100004,NBA_0040,RP
137537000004,NBA_0040,RP
130441700004,NBA_0040,RP
186890700004,NBA_0040,RP
129931800004,NBA_0040,RP
101858800004,NBA_0040,RP
138378600004,NBA_0040,RP
104439800004,NBA_0040,RP
129215000004,NBA_0040,RP
186289500004,NBA_0040,RP
186053100004,NBA_0040,RP
105377900004,NBA_0040,RP
104369200004,NBA_0040,RP
129298600004,NBA_0040,RP
184355100004,NBA_0040,RP
180149000004,NBA_0040,RP
102957600004,NBA_0040,RP
186468900004,NBA_0040,RP
186555300004,NBA_0040,RP
180585500004,NBA_0040,RP
185226800004,NBA_0040,RP
103243000004,NBA_0040,RP
185788100004,NBA_0040,RP
103935900004,NBA_0040,RP
119187800004,NBA_0040,RP
103859200004,NBA_0040,RP
181528900004,NBA_0040,RP
184269000004,NBA_0040,RP
183893200004,NBA_0040,RP
185996600004,NBA_0040,RP
186388600004,NBA_0040,RP
181416100004,NBA_0040,RP
100727700004,NBA_0040,RP
134156800004,NBA_0040,RP
186858500004,NBA_0040,RP
133245400004,NBA_0040,RP
136958900004,NBA_0040,RP
183039300004,NBA_0040,RP
185971900004,NBA_0040,RP
100548100004,NBA_0040,RP
101276400004,NBA_0040,RP
186688000004,NBA_0040,RP
184020600004,NBA_0040,RP
101132500004,NBA_0040,RP
101748700004,NBA_0040,RP
185779600004,NBA_0040,RP
184560600004,NBA_0040,RP
126806700004,NBA_0040,RP
186119300004,NBA_0040,RP
184713300004,NBA_0040,RP
184586700004,NBA_0040,RP
102688500004,NBA_0040,RP
108816500004,NBA_0040,RP
186347600004,NBA_0040,RP
105409300004,NBA_0040,RP
100237100004,NBA_0040,RP
186595800004,NBA_0040,RP
186909500004,NBA_0040,RP
186261800004,NBA_0040,RP
186711200004,NBA_0040,RP
185946600004,NBA_0040,RP
141859000004,NBA_0040,RP
103406400004,NBA_0040,RP
186734800004,NBA_0040,RP
