outletSubAccountNumber,nbaCode,action 
1.05434E+11,NBA_0006,N
1.05443E+11,NBA_0006,N
1.05446E+11,NBA_0006,N
1.05449E+11,NBA_0006,N
1.05458E+11,NBA_0006,N
1.05479E+11,NBA_0006,N
1.05489E+11,NBA_0006,N
1.05503E+11,NBA_0006,N
1.05517E+11,NBA_0006,N
1.05517E+11,NBA_0006,N
1.05546E+11,NBA_0006,N
1.05557E+11,NBA_0006,N
1.05558E+11,NBA_0006,N
1.05593E+11,NBA_0006,N
1.05599E+11,NBA_0006,N
1.05705E+11,NBA_0006,N
1.05731E+11,NBA_0006,N
1.05792E+11,NBA_0006,N
1.05816E+11,NBA_0006,N
1.05824E+11,NBA_0006,N
1.05891E+11,NBA_0006,N
1.05896E+11,NBA_0006,N
1.05921E+11,NBA_0006,N
1.05924E+11,NBA_0006,N
1.05938E+11,NBA_0006,N
1.05941E+11,NBA_0006,N
1.05951E+11,NBA_0006,N
1.05952E+11,NBA_0006,N
1.05967E+11,NBA_0006,N
1.05972E+11,NBA_0006,N
1.05974E+11,NBA_0006,N
1.05984E+11,NBA_0006,N
1.05996E+11,NBA_0006,N
1.06436E+11,NBA_0006,N
1.06786E+11,NBA_0006,N
1.0687E+11,NBA_0006,N
1.07638E+11,NBA_0006,N
1.09013E+11,NBA_0006,N
1.09503E+11,NBA_0006,N
1.09665E+11,NBA_0006,N
1.10298E+11,NBA_0006,N
1.10542E+11,NBA_0006,N
1.10895E+11,NBA_0006,N
1.11903E+11,NBA_0006,N
1.12021E+11,NBA_0006,N
1.12723E+11,NBA_0006,N
1.13232E+11,NBA_0006,N
1.13989E+11,NBA_0006,N
1.14939E+11,NBA_0006,N
1.15603E+11,NBA_0006,N
1.16719E+11,NBA_0006,N
1.1726E+11,NBA_0006,N
1.17544E+11,NBA_0006,N
1.17617E+11,NBA_0006,N
1.1787E+11,NBA_0006,N
1.18448E+11,NBA_0006,N
1.18783E+11,NBA_0006,N
1.1913E+11,NBA_0006,N
1.19212E+11,NBA_0006,N
1.20674E+11,NBA_0006,N
1.21842E+11,NBA_0006,N
1.22969E+11,NBA_0006,N
1.23151E+11,NBA_0006,N
1.24696E+11,NBA_0006,N
1.25924E+11,NBA_0006,N
1.2722E+11,NBA_0006,N
1.27927E+11,NBA_0006,N
1.27963E+11,NBA_0006,N
1.28718E+11,NBA_0006,N
1.28718E+11,NBA_0006,N
1.29289E+11,NBA_0006,N
1.29713E+11,NBA_0006,N
1.29744E+11,NBA_0006,N
1.30097E+11,NBA_0006,N
1.30928E+11,NBA_0006,N
1.30986E+11,NBA_0006,N
1.31217E+11,NBA_0006,N
1.32478E+11,NBA_0006,N
1.32529E+11,NBA_0006,N
1.33221E+11,NBA_0006,N
1.33483E+11,NBA_0006,N
1.3385E+11,NBA_0006,N
1.34063E+11,NBA_0006,N
1.34161E+11,NBA_0006,N
1.34181E+11,NBA_0006,N
1.34295E+11,NBA_0006,N
1.34318E+11,NBA_0006,N
1.34318E+11,NBA_0006,N
1.3474E+11,NBA_0006,N
1.34883E+11,NBA_0006,N
1.3513E+11,NBA_0006,N
1.35229E+11,NBA_0006,N
1.35279E+11,NBA_0006,N
1.35311E+11,NBA_0006,N
1.35551E+11,NBA_0006,N
1.35685E+11,NBA_0006,N
1.35802E+11,NBA_0006,N
1.35929E+11,NBA_0006,N
1.35936E+11,NBA_0006,N
1.36101E+11,NBA_0006,N
1.36115E+11,NBA_0006,N
1.36222E+11,NBA_0006,N
1.36272E+11,NBA_0006,N
1.36416E+11,NBA_0006,N
1.36776E+11,NBA_0006,N
1.36776E+11,NBA_0006,N
1.36878E+11,NBA_0006,N
1.3692E+11,NBA_0006,N
1.37018E+11,NBA_0006,N
1.38355E+11,NBA_0006,N
1.3836E+11,NBA_0006,N
1.38751E+11,NBA_0006,N
1.38751E+11,NBA_0006,N
1.38785E+11,NBA_0006,N
1.39292E+11,NBA_0006,N
1.39463E+11,NBA_0006,N
1.39666E+11,NBA_0006,N
1.39695E+11,NBA_0006,N
1.39867E+11,NBA_0006,N
1.39976E+11,NBA_0006,N
1.3998E+11,NBA_0006,N
1.40823E+11,NBA_0006,N
1.41229E+11,NBA_0006,N
1.41368E+11,NBA_0006,N
1.41502E+11,NBA_0006,N
1.41635E+11,NBA_0006,N
1.41657E+11,NBA_0006,N
1.41816E+11,NBA_0006,N
1.41838E+11,NBA_0006,N
1.4192E+11,NBA_0006,N
1.41936E+11,NBA_0006,N
1.42013E+11,NBA_0006,N
1.42262E+11,NBA_0006,N
1.42295E+11,NBA_0006,N
1.4232E+11,NBA_0006,N
1.42416E+11,NBA_0006,N
1.42467E+11,NBA_0006,N
1.42491E+11,NBA_0006,N
1.4264E+11,NBA_0006,N
1.42646E+11,NBA_0006,N
1.42687E+11,NBA_0006,N
1.42688E+11,NBA_0006,N
1.42708E+11,NBA_0006,N
1.8E+11,NBA_0006,N
1.80001E+11,NBA_0006,N
1.80001E+11,NBA_0006,N
1.80001E+11,NBA_0006,N
1.80001E+11,NBA_0006,N
1.80002E+11,NBA_0006,N
1.80002E+11,NBA_0006,N
1.80053E+11,NBA_0006,N
1.80066E+11,NBA_0006,N
1.8009E+11,NBA_0006,N
1.80105E+11,NBA_0006,N
1.80114E+11,NBA_0006,N
1.80128E+11,NBA_0006,N
1.80128E+11,NBA_0006,N
1.80146E+11,NBA_0006,N
1.80181E+11,NBA_0006,N
1.802E+11,NBA_0006,N
1.80302E+11,NBA_0006,N
1.80361E+11,NBA_0006,N
1.80428E+11,NBA_0006,N
1.80476E+11,NBA_0006,N
1.80513E+11,NBA_0006,N
