outletSubAccountNumber,nbaCode,action
1.87706E+11,NBA_0001,N
1.87706E+11,NBA_0005,N
1.87706E+11,NBA_0006,N
1.87706E+11,NBA_0009,N
1.87706E+11,NBA_0012,N
1.87708E+11,NBA_0045,P
1.87709E+11,NBA_0001,N
1.87709E+11,NBA_0005,N
1.87709E+11,NBA_0006,N
1.87709E+11,NBA_0009,N
1.87709E+11,NBA_0012,N
1.8771E+11,NBA_0046,P
1.8771E+11,NBA_0001,N
1.8771E+11,NBA_0005,N
1.8771E+11,NBA_0006,N
1.8771E+11,NBA_0009,N
1.8771E+11,NBA_0012,N
1.8771E+11,NBA_0001,N
1.8771E+11,NBA_0005,N
1.8771E+11,NBA_0006,N
1.8771E+11,NBA_0009,N
1.8771E+11,NBA_0012,N
1.87711E+11,NBA_0046,P
1.87712E+11,NBA_0009,N
1.87712E+11,NBA_0046,P
1.87713E+11,NBA_0046,P
1.87714E+11,NBA_0046,P
1.87716E+11,NBA_0005,N
1.87716E+11,NBA_0006,N
1.87718E+11,NBA_0046,P
1.87718E+11,NBA_0045,P
1.87719E+11,NBA_0005,N
1.87719E+11,NBA_0006,N
1.87719E+11,NBA_0009,N
1.87719E+11,NBA_0012,N
1.87721E+11,NBA_0046,P
1.87721E+11,NBA_0046,P
1.87723E+11,NBA_0046,P
1.87725E+11,NBA_0009,N
1.87726E+11,NBA_0001,N
1.87726E+11,NBA_0005,N
1.87726E+11,NBA_0006,N
1.87726E+11,NBA_0009,N
1.87726E+11,NBA_0012,N
1.87729E+11,NBA_0045,P
1.87732E+11,NBA_0001,N
1.87732E+11,NBA_0005,N
1.87732E+11,NBA_0006,N
1.87732E+11,NBA_0009,N
1.87732E+11,NBA_0012,N
1.87734E+11,NBA_0005,N
1.87734E+11,NBA_0006,N
1.87736E+11,NBA_0009,N
1.87738E+11,NBA_0046,P
1.87741E+11,NBA_0005,N
1.87741E+11,NBA_0006,N
1.87741E+11,NBA_0046,P
1.87741E+11,NBA_0001,N
1.87741E+11,NBA_0005,N
1.87741E+11,NBA_0006,N
1.87741E+11,NBA_0009,N
1.87741E+11,NBA_0012,N
1.87741E+11,NBA_0046,P
1.87742E+11,NBA_0005,N
1.87742E+11,NBA_0006,N
1.87742E+11,NBA_0046,P
1.87746E+11,NBA_0045,P
1.87746E+11,NBA_0046,P
1.87747E+11,NBA_0046,P
1.87748E+11,NBA_0046,P
1.8775E+11,NBA_0009,N
1.8775E+11,NBA_0012,N
1.87753E+11,NBA_0001,N
1.87753E+11,NBA_0005,N
1.87753E+11,NBA_0006,N
1.87753E+11,NBA_0009,N
1.87753E+11,NBA_0012,N
1.87753E+11,NBA_0046,P
1.87754E+11,NBA_0001,N
1.87754E+11,NBA_0005,N
1.87754E+11,NBA_0006,N
1.87754E+11,NBA_0009,N
1.87754E+11,NBA_0012,N
1.87755E+11,NBA_0001,N
1.87755E+11,NBA_0005,N
1.87755E+11,NBA_0006,N
1.87755E+11,NBA_0009,N
1.87755E+11,NBA_0012,N
1.87755E+11,NBA_0046,P
1.87755E+11,NBA_0001,N
1.87755E+11,NBA_0005,N
1.87755E+11,NBA_0006,N
1.87755E+11,NBA_0009,N
1.87755E+11,NBA_0012,N
1.87756E+11,NBA_0046,P
1.87758E+11,NBA_0001,N
1.87758E+11,NBA_0005,N
1.87758E+11,NBA_0006,N
1.87758E+11,NBA_0009,N
1.87758E+11,NBA_0012,N
1.87759E+11,NBA_0046,P
1.87761E+11,NBA_0045,P
1.87762E+11,NBA_0001,N
1.87762E+11,NBA_0005,N
1.87762E+11,NBA_0006,N
1.87762E+11,NBA_0009,N
1.87762E+11,NBA_0012,N
1.87763E+11,NBA_0001,N
1.87763E+11,NBA_0005,N
1.87763E+11,NBA_0006,N
1.87763E+11,NBA_0009,N
1.87763E+11,NBA_0012,N
1.87767E+11,NBA_0046,P
1.87768E+11,NBA_0046,P
1.87769E+11,NBA_0001,N
1.8777E+11,NBA_0005,N
1.8777E+11,NBA_0006,N
1.8777E+11,NBA_0009,N
1.8777E+11,NBA_0012,N
1.8777E+11,NBA_0045,P
1.87772E+11,NBA_0045,P
1.87773E+11,NBA_0009,N
1.87773E+11,NBA_0046,P
1.87774E+11,NBA_0001,N
1.87774E+11,NBA_0005,N
1.87774E+11,NBA_0006,N
1.87774E+11,NBA_0009,N
1.87774E+11,NBA_0012,N
1.87774E+11,NBA_0005,N
1.87774E+11,NBA_0006,N
1.87774E+11,NBA_0009,N
1.87774E+11,NBA_0012,N
1.87774E+11,NBA_0009,N
1.87774E+11,NBA_0012,N
1.87775E+11,NBA_0046,P
1.87775E+11,NBA_0001,N
1.87775E+11,NBA_0005,N
1.87775E+11,NBA_0006,N
1.87775E+11,NBA_0009,N
1.87775E+11,NBA_0012,N
1.87776E+11,NBA_0046,P
1.87777E+11,NBA_0045,P
1.87779E+11,NBA_0005,N
1.87779E+11,NBA_0006,N
1.87779E+11,NBA_0046,P
1.8778E+11,NBA_0009,N
1.87781E+11,NBA_0001,N
1.87781E+11,NBA_0005,N
1.87781E+11,NBA_0006,N
1.87781E+11,NBA_0009,N
1.87781E+11,NBA_0012,N
1.87784E+11,NBA_0009,N
1.87784E+11,NBA_0012,N
1.87786E+11,NBA_0046,P
1.87788E+11,NBA_0001,N
1.87788E+11,NBA_0005,N
1.87788E+11,NBA_0006,N
1.87788E+11,NBA_0009,N
1.87788E+11,NBA_0012,N
1.87788E+11,NBA_0009,N
1.87789E+11,NBA_0005,N
1.87789E+11,NBA_0006,N
1.87789E+11,NBA_0046,P
1.87789E+11,NBA_0045,P
1.8779E+11,NBA_0001,N
1.8779E+11,NBA_0005,N
1.8779E+11,NBA_0006,N
1.8779E+11,NBA_0009,N
1.8779E+11,NBA_0012,N
1.87791E+11,NBA_0001,N
1.87792E+11,NBA_0001,N
1.87792E+11,NBA_0005,N
1.87792E+11,NBA_0006,N
1.87792E+11,NBA_0009,N
1.87792E+11,NBA_0012,N
1.87792E+11,NBA_0001,N
1.87792E+11,NBA_0005,N
1.87792E+11,NBA_0006,N
1.87792E+11,NBA_0009,N
1.87792E+11,NBA_0012,N
1.87794E+11,NBA_0005,N
1.87794E+11,NBA_0006,N
1.87794E+11,NBA_0009,N
1.87794E+11,NBA_0012,N
1.87796E+11,NBA_0001,N
1.87796E+11,NBA_0005,N
1.87796E+11,NBA_0006,N
1.87796E+11,NBA_0009,N
1.87796E+11,NBA_0012,N
1.87798E+11,NBA_0046,P
1.87799E+11,NBA_0001,N
1.87799E+11,NBA_0005,N
1.87799E+11,NBA_0006,N
1.87799E+11,NBA_0009,N
1.87799E+11,NBA_0012,N
1.87799E+11,NBA_0046,P
1.87801E+11,NBA_0001,N
1.87801E+11,NBA_0005,N
1.87801E+11,NBA_0006,N
1.87801E+11,NBA_0009,N
1.87801E+11,NBA_0012,N
1.87801E+11,NBA_0009,N
1.87801E+11,NBA_0012,N
1.87802E+11,NBA_0009,N
1.87802E+11,NBA_0046,P
1.87803E+11,NBA_0009,N
1.87804E+11,NBA_0005,N
1.87804E+11,NBA_0006,N
1.87804E+11,NBA_0009,N
1.87804E+11,NBA_0012,N
1.87804E+11,NBA_0005,N
1.87804E+11,NBA_0006,N
1.87804E+11,NBA_0009,N
1.87804E+11,NBA_0012,N
1.87804E+11,NBA_0046,P
1.87804E+11,NBA_0005,N
1.87804E+11,NBA_0006,N
1.87805E+11,NBA_0046,P
1.87806E+11,NBA_0001,N
1.87806E+11,NBA_0005,N
1.87806E+11,NBA_0006,N
1.87806E+11,NBA_0009,N
1.87806E+11,NBA_0012,N
1.87806E+11,NBA_0046,P
1.87807E+11,NBA_0046,P
1.87807E+11,NBA_0001,N
1.87807E+11,NBA_0001,N
1.87807E+11,NBA_0005,N
1.87807E+11,NBA_0006,N
1.87807E+11,NBA_0009,N
1.87807E+11,NBA_0012,N
1.87808E+11,NBA_0046,P
1.87809E+11,NBA_0001,N
1.87809E+11,NBA_0005,N
1.87809E+11,NBA_0006,N
1.87809E+11,NBA_0009,N
1.87809E+11,NBA_0012,N
1.87812E+11,NBA_0009,N
1.87812E+11,NBA_0009,N
1.87813E+11,NBA_0001,N
1.87813E+11,NBA_0005,N
1.87813E+11,NBA_0006,N
1.87813E+11,NBA_0009,N
1.87813E+11,NBA_0012,N
1.87813E+11,NBA_0005,N
1.87813E+11,NBA_0006,N
1.87813E+11,NBA_0046,P
1.87817E+11,NBA_0046,P
1.87818E+11,NBA_0001,N
1.87818E+11,NBA_0005,N
