SubAccountNumber,EscalatedNote,Action
105364200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105393000004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
105441000004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
105464200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105473200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105480700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105498000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105503300004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
105528700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105541800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105567500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105571800004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
105577600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105579900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105600700004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
105615900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105632400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105862400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105880400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105930200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105989400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
109151400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
111893500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
116088300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
118449800004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
119287100004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
130870800004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
131370900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
133910300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
134381800004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
136392900004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
137557300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
138810900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
139132300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
140392700004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
140500200004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
140937800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
141321300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
141814600004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
141838900004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
180184500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180289400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180334200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180362100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
