102401900004,11700,,,01/08/2016,,,,,,11700,,,N,Price Review 2016
102404600004,5100,,,01/08/2016,,,,,,5100,,,N,Price Review 2016
102414900004,6500,,,01/08/2016,,,,,,4301,6500,,N,Price Review 2016
102454500004,24000,,,01/08/2016,,,,,,24000,,,N,Price Review 2016
102459200004,31200,,,01/08/2016,,,,,,11901,15001,31200,N,Price Review 2016
102505600004,24000,,,01/08/2016,,,,,,24000,,,N,Price Review 2016
102538800004,43700,,,01/08/2016,,,,,,43700,,,N,Price Review 2016
102550800004,32200,,,01/08/2016,,,,,,4301,5751,32200,N,Price Review 2016
102557900004,12500,,,01/08/2016,,,,,,12500,,,N,Price Review 2016
102580100004,18000,,,01/08/2016,,,,,,11901,18000,,N,Price Review 2016
102587500004,15300,,,01/08/2016,,,,,,15300,,,N,Price Review 2016
102598400004,9500,,,01/08/2016,,,,,,7451,9500,,N,Price Review 2016
102602100004,4000,,,01/08/2016,,,,,,4000,,,N,Price Review 2016
102603600004,7750,,,01/08/2016,,,,,,7750,,,N,Price Review 2016
102607900004,16300,,,01/08/2016,,,,,,16300,,,N,Price Review 2016
102608100004,9550,,,01/08/2016,,,,,,7451,9550,,N,Price Review 2016
102642300004,5000,,,01/08/2016,,,,,,5000,,,N,Price Review 2016
102644200004,3600,,,01/08/2016,,,,,,3600,,,N,Price Review 2016
102685800004,15100,,,01/08/2016,,,,,,15100,,,N,Price Review 2016
102756600004,124000,,,01/08/2016,,,,,,124000,,,N,Price Review 2016
102779800004,95000,,,01/08/2016,,,,,,25001,33001,95000,N,Price Review 2016
102800500004,3000,,,01/08/2016,,,,,,3000,,,N,Price Review 2016
102845900004,3750,,,01/08/2016,,,,,,3750,,,N,Price Review 2016
102846500004,999999,,,01/08/2016,,,,,,11901,999999,,N,Price Review 2016
102867900004,6400,,,01/08/2016,,,,,,6400,,,N,Price Review 2016
102897700004,6000,,,01/08/2016,,,,,,6000,,,N,Price Review 2016
102899600004,999999,,,01/08/2016,,,,,,4301,999999,,N,Price Review 2016
102901100004,7500,,,01/08/2016,,,,,,7500,,,N,Price Review 2016
