"SkyRefNumber","Marketing Tag"
"101726000004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"126060800004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"181515800004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"141229400004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"134591800004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"101265000004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"104858400004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105227000004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105070600004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"181394800004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"180240500004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"181187900004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"103085400004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"104947300004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"100680100004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105473000004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"100325500004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"104235700004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105903100004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"142471500004","Q4 12/13  Summer Churner - Treated Customer"
"180341700004","Q4 12/13  Summer Churner - Treated Customer"
"139629800004","Q4 12/13  Summer Churner - Treated Customer"
"181402000004","Q4 12/13  Summer Churner - Treated Customer"
"122567200004","Q4 12/13  Summer Churner - Treated Customer"
"104778200004","Q4 12/13  Summer Churner - Treated Customer"
"103026300004","Q4 12/13  Summer Churner - Treated Customer"
"182140300004","Q4 12/13  Summer Churner - Treated Customer"
"180802200004","Q4 12/13  Summer Churner - Treated Customer"
"181897500004","Q4 12/13  Summer Churner - Treated Customer"
"101222300004","Q4 12/13  Summer Churner - Treated Customer"
"103965700004","Q4 12/13  Summer Churner - Treated Customer"
"180794200004","Q4 12/13  Summer Churner - Treated Customer"
"182047100004","Q4 12/13  Summer Churner - Treated Customer"
"105557000004","Q4 12/13  Summer Churner - Treated Customer"
"102106200004","Q4 12/13  Summer Churner - Treated Customer"
"104713700004","Q4 12/13  Summer Churner - Treated Customer"
"103229800004","Q4 12/13  Summer Churner - Treated Customer"
"103003200004","Q4 12/13  Summer Churner - Treated Customer"
"100570200004","Q4 12/13  Summer Churner - Treated Customer"
"103490500004","Q4 12/13  Summer Churner - Treated Customer"
"104925800004","Q4 12/13  Summer Churner - Treated Customer"
"101117800004","Q4 12/13  Summer Churner - Treated Customer"
"103498000004","Q4 12/13  Summer Churner - Treated Customer"
"102546500004","Q4 12/13  Summer Churner - Treated Customer"
"100278900004","Q4 12/13  Summer Churner - Treated Customer"
"181957200004","Q4 12/13  Summer Churner - Treated Customer"
"100859900004","Q4 12/13  Summer Churner - Treated Customer"
"180274300004","Q4 12/13  Summer Churner - Treated Customer"
"105319100004","Q4 12/13  Summer Churner - Treated Customer"
"180537100004","Q4 12/13  Summer Churner - Treated Customer"
"105312500004","Q4 12/13  Summer Churner - Treated Customer"
"181969800004","Q4 12/13  Summer Churner - Treated Customer"
"103422300004","Q4 12/13  Summer Churner - Treated Customer"
"104224700004","Q4 12/13  Summer Churner - Treated Customer"
"101804800004","Q4 12/13  Summer Churner - Treated Customer"
"180338900004","Q4 12/13  Summer Churner - Treated Customer"
"103549200004","Q4 12/13  Summer Churner - Treated Customer"
"101703800004","Q4 12/13  Summer Churner - Treated Customer"
"102192100004","Q4 12/13  Summer Churner - Treated Customer"
"100679100004","Q4 12/13  Summer Churner - Treated Customer"
"102930200004","Q4 12/13  Summer Churner - Treated Customer"
"181956200004","Q4 12/13  Summer Churner - Treated Customer"
"180102500004","Q4 12/13  Summer Churner - Treated Customer"
"100194400004","Q4 12/13  Summer Churner - Treated Customer"
"180943500004","Q4 12/13  Summer Churner - Treated Customer"
"108716000004","Q4 12/13  Summer Churner - Treated Customer"
"140027100004","Q4 12/13  Summer Churner - Treated Customer"
"100709100004","Q4 12/13  Summer Churner - Treated Customer"
"101866600004","Q4 12/13  Summer Churner - Treated Customer"
"180866800004","Q4 12/13  Summer Churner - Treated Customer"
"180792400004","Q4 12/13  Summer Churner - Treated Customer"
"103588400004","Q4 12/13  Summer Churner - Treated Customer"
"181397600004","Q4 12/13  Summer Churner - Treated Customer"
"105322500004","Q4 12/13  Summer Churner - Treated Customer"
"101557600004","Q4 12/13  Summer Churner - Treated Customer"
"100418000004","Q4 12/13  Summer Churner - Treated Customer"
"102972000004","Q4 12/13  Summer Churner - Treated Customer"
"101945900004","Q4 12/13  Summer Churner - Treated Customer"
"181170700004","Q4 12/13  Summer Churner - Treated Customer"
"105371900004","Q4 12/13  Summer Churner - Treated Customer"
"180754500004","Q4 12/13  Summer Churner - Treated Customer"
"102890000004","Q4 12/13  Summer Churner - Treated Customer"
"182102800004","Q4 12/13  Summer Churner - Treated Customer"
"104566400004","Q4 12/13  Summer Churner - Treated Customer"
"103076100004","Q4 12/13  Summer Churner - Treated Customer"
"101409100004","Q4 12/13  Summer Churner - Treated Customer"
"180787500004","Q4 12/13  Summer Churner - Treated Customer"
"180742200004","Q4 12/13  Summer Churner - Treated Customer"
"100624600004","Q4 12/13  Summer Churner - Treated Customer"
"102704200004","Q4 12/13  Summer Churner - Treated Customer"
"101227100004","Q4 12/13  Summer Churner - Treated Customer"
"100731600004","Q4 12/13  Summer Churner - Treated Customer"
"102431000004","Q4 12/13  Summer Churner - Treated Customer"
"101243800004","Q4 12/13  Summer Churner - Treated Customer"
"181411500004","Q4 12/13  Summer Churner - Treated Customer"
"103725700004","Q4 12/13  Summer Churner - Treated Customer"
"102367200004","Q4 12/13  Summer Churner - Treated Customer"
"181391600004","Q4 12/13  Summer Churner - Treated Customer"
"103535000004","Q4 12/13  Summer Churner - Treated Customer"
"140199000004","Q4 12/13  Summer Churner - Treated Customer"
"100128800004","Q4 12/13  Summer Churner - Treated Customer"
"181519600004","Q4 12/13  Summer Churner - Treated Customer"
"181407700004","Q4 12/13  Summer Churner - Treated Customer"
"100929500004","Q4 12/13  Summer Churner - Treated Customer"
"102053800004","Q4 12/13  Summer Churner - Treated Customer"
"104128900004","Q4 12/13  Summer Churner - Treated Customer"
"102567200004","Q4 12/13  Summer Churner - Treated Customer"
"104110300004","Q4 12/13  Summer Churner - Treated Customer"
"104731200004","Q4 12/13  Summer Churner - Treated Customer"
"181415100004","Q4 12/13  Summer Churner - Treated Customer"
"101856400004","Q4 12/13  Summer Churner - Treated Customer"
"102441400004","Q4 12/13  Summer Churner - Treated Customer"
"101845800004","Q4 12/13  Summer Churner - Treated Customer"
"105930500004","Q4 12/13  Summer Churner - Treated Customer"
"181903800004","Q4 12/13  Summer Churner - Treated Customer"
"105933500004","Q4 12/13  Summer Churner - Treated Customer"
"101718300004","Q4 12/13  Summer Churner - Treated Customer"
"180867700004","Q4 12/13  Summer Churner - Treated Customer"
"104106200004","Q4 12/13  Summer Churner - Treated Customer"
"101949800004","Q4 12/13  Summer Churner - Treated Customer"
"181447400004","Q4 12/13  Summer Churner - Treated Customer"
"130407000004","Q4 12/13  Summer Churner - Treated Customer"
"105977900004","Q4 12/13  Summer Churner - Treated Customer"
"101182000004","Q4 12/13  Summer Churner - Treated Customer"
"180344900004","Q4 12/13  Summer Churner - Treated Customer"
"181975000004","Q4 12/13  Summer Churner - Treated Customer"
"181290300004","Q4 12/13  Summer Churner - Treated Customer"
"102924000004","Q4 12/13  Summer Churner - Treated Customer"
"104770900004","Q4 12/13  Summer Churner - Treated Customer"
"103532500004","Q4 12/13  Summer Churner - Treated Customer"
"181278400004","Q4 12/13  Summer Churner - Treated Customer"
"102308700004","Q4 12/13  Summer Churner - Treated Customer"
"102321500004","Q4 12/13  Summer Churner - Treated Customer"
"181967100004","Q4 12/13  Summer Churner - Treated Customer"
"181489200004","Q4 12/13  Summer Churner - Treated Customer"
"104200000004","Q4 12/13  Summer Churner - Treated Customer"
"103637100004","Q4 12/13  Summer Churner - Treated Customer"
"104666800004","Q4 12/13  Summer Churner - Treated Customer"
"104025100004","Q4 12/13  Summer Churner - Treated Customer"
"102916600004","Q4 12/13  Summer Churner - Treated Customer"
"103539200004","Q4 12/13  Summer Churner - Treated Customer"
"180973800004","Q4 12/13  Summer Churner - Treated Customer"
"100522900004","Q4 12/13  Summer Churner - Treated Customer"
"180885300004","Q4 12/13  Summer Churner - Treated Customer"
"180800400004","Q4 12/13  Summer Churner - Treated Customer"
"100530800004","Q4 12/13  Summer Churner - Treated Customer"
"102405200004","Q4 12/13  Summer Churner - Treated Customer"
"103725900004","Q4 12/13  Summer Churner - Treated Customer"
"103068500004","Q4 12/13  Summer Churner - Treated Customer"
"182078200004","Q4 12/13  Summer Churner - Treated Customer"
"182099600004","Q4 12/13  Summer Churner - Treated Customer"
"105687600004","Q4 12/13  Summer Churner - Treated Customer"
"104545800004","Q4 12/13  Summer Churner - Treated Customer"
"105901400004","Q4 12/13  Summer Churner - Treated Customer"
"105343800004","Q4 12/13  Summer Churner - Treated Customer"
"102401200004","Q4 12/13  Summer Churner - Treated Customer"
"103510900004","Q4 12/13  Summer Churner - Treated Customer"
"105674800004","Q4 12/13  Summer Churner - Treated Customer"
"101712800004","Q4 12/13  Summer Churner - Treated Customer"
"105273200004","Q4 12/13  Summer Churner - Treated Customer"
"181440700004","Q4 12/13  Summer Churner - Treated Customer"
"105427800004","Q4 12/13  Summer Churner - Treated Customer"
"182048700004","Q4 12/13  Summer Churner - Treated Customer"
"104163000004","Q4 12/13  Summer Churner - Treated Customer"
"181951700004","Q4 12/13  Summer Churner - Treated Customer"
"102432100004","Q4 12/13  Summer Churner - Treated Customer"
"136324600004","Q4 12/13  Summer Churner - Treated Customer"
"180196800004","Q4 12/13  Summer Churner - Treated Customer"
"102346800004","Q4 12/13  Summer Churner - Treated Customer"
"101152900004","Q4 12/13  Summer Churner - Treated Customer"
"102084600004","Q4 12/13  Summer Churner - Treated Customer"
"181145400004","Q4 12/13  Summer Churner - Treated Customer"
"103020100004","Q4 12/13  Summer Churner - Treated Customer"
"126939300004","Q4 12/13  Summer Churner - Treated Customer"
"180813000004","Q4 12/13  Summer Churner - Treated Customer"
"101719900004","Q4 12/13  Summer Churner - Treated Customer"
"103337300004","Q4 12/13  Summer Churner - Treated Customer"
"105215500004","Q4 12/13  Summer Churner - Treated Customer"
"180537900004","Q4 12/13  Summer Churner - Treated Customer"
"180897100004","Q4 12/13  Summer Churner - Treated Customer"
"102999400004","Q4 12/13  Summer Churner - Treated Customer"
"100155700004","Q4 12/13  Summer Churner - Treated Customer"
"103982100004","Q4 12/13  Summer Churner - Treated Customer"
"102237200004","Q4 12/13  Summer Churner - Treated Customer"
"105439700004","Q4 12/13  Summer Churner - Treated Customer"
"101515900004","Q4 12/13  Summer Churner - Treated Customer"
"182140500004","Q4 12/13  Summer Churner - Treated Customer"
"105902400004","Q4 12/13  Summer Churner - Treated Customer"
"101521800004","Q4 12/13  Summer Churner - Treated Customer"
"100345100004","Q4 12/13  Summer Churner - Treated Customer"
"100471700004","Q4 12/13  Summer Churner - Treated Customer"
"100528500004","Q4 12/13  Summer Churner - Treated Customer"
"101854400004","Q4 12/13  Summer Churner - Treated Customer"
"101426000004","Q4 12/13  Summer Churner - Treated Customer"
"180837700004","Q4 12/13  Summer Churner - Treated Customer"
"181967600004","Q4 12/13  Summer Churner - Treated Customer"
"103617100004","Q4 12/13  Summer Churner - Treated Customer"
"101995700004","Q4 12/13  Summer Churner - Treated Customer"
"104121000004","Q4 12/13  Summer Churner - Treated Customer"
"104265900004","Q4 12/13  Summer Churner - Treated Customer"
"118108000004","Q4 12/13  Summer Churner - Treated Customer"
"181935100004","Q4 12/13  Summer Churner - Treated Customer"
"103536500004","Q4 12/13  Summer Churner - Treated Customer"
"181946100004","Q4 12/13  Summer Churner - Treated Customer"
"105866300004","Q4 12/13  Summer Churner - Treated Customer"
"101637300004","Q4 12/13  Summer Churner - Treated Customer"
"105320200004","Q4 12/13  Summer Churner - Treated Customer"
"180537000004","Q4 12/13  Summer Churner - Treated Customer"
"105433200004","Q4 12/13  Summer Churner - Treated Customer"
"181291500004","Q4 12/13  Summer Churner - Treated Customer"
"103712700004","Q4 12/13  Summer Churner - Treated Customer"
"180101600004","Q4 12/13  Summer Churner - Treated Customer"
"103299700004","Q4 12/13  Summer Churner - Treated Customer"
"100546900004","Q4 12/13  Summer Churner - Treated Customer"
"180921300004","Q4 12/13  Summer Churner - Treated Customer"
"103923100004","Q4 12/13  Summer Churner - Treated Customer"
"104737500004","Q4 12/13  Summer Churner - Treated Customer"
"103515900004","Q4 12/13  Summer Churner - Treated Customer"
"102527100004","Q4 12/13  Summer Churner - Treated Customer"
"180561300004","Q4 12/13  Summer Churner - Treated Customer"
"104944000004","Q4 12/13  Summer Churner - Treated Customer"
"180817000004","Q4 12/13  Summer Churner - Treated Customer"
"103063700004","Q4 12/13  Summer Churner - Treated Customer"
"181399400004","Q4 12/13  Summer Churner - Treated Customer"
"135778100004","Q4 12/13  Summer Churner - Treated Customer"
"103524500004","Q4 12/13  Summer Churner - Treated Customer"
"103841500004","Q4 12/13  Summer Churner - Treated Customer"
"103131100004","Q4 12/13  Summer Churner - Treated Customer"
"103808200004","Q4 12/13  Summer Churner - Treated Customer"
"104711800004","Q4 12/13  Summer Churner - Treated Customer"
"141221300004","Q4 12/13  Summer Churner - Treated Customer"
"104615000004","Q4 12/13  Summer Churner - Treated Customer"
"181530400004","Q4 12/13  Summer Churner - Treated Customer"
"101819300004","Q4 12/13  Summer Churner - Treated Customer"
"180858000004","Q4 12/13  Summer Churner - Treated Customer"
"103393800004","Q4 12/13  Summer Churner - Treated Customer"
"105327700004","Q4 12/13  Summer Churner - Treated Customer"
"181903500004","Q4 12/13  Summer Churner - Treated Customer"
"181454800004","Q4 12/13  Summer Churner - Treated Customer"
"105386800004","Q4 12/13  Summer Churner - Treated Customer"
"180898500004","Q4 12/13  Summer Churner - Treated Customer"
"182098600004","Q4 12/13  Summer Churner - Treated Customer"
"103197200004","Q4 12/13  Summer Churner - Treated Customer"
"180914000004","Q4 12/13  Summer Churner - Treated Customer"
"181953300004","Q4 12/13  Summer Churner - Treated Customer"
"180843500004","Q4 12/13  Summer Churner - Treated Customer"
"100329300004","Q4 12/13  Summer Churner - Treated Customer"
"181171300004","Q4 12/13  Summer Churner - Treated Customer"
"180551000004","Q4 12/13  Summer Churner - Treated Customer"
"103028300004","Q4 12/13  Summer Churner - Treated Customer"
"181161800004","Q4 12/13  Summer Churner - Treated Customer"
"102699500004","Q4 12/13  Summer Churner - Treated Customer"
"105905900004","Q4 12/13  Summer Churner - Treated Customer"
"181564300004","Q4 12/13  Summer Churner - Treated Customer"
"102454500004","Q4 12/13  Summer Churner - Treated Customer"
"104752000004","Q4 12/13  Summer Churner - Treated Customer"
"105796700004","Q4 12/13  Summer Churner - Treated Customer"
"102457700004","Q4 12/13  Summer Churner - Treated Customer"
"100465800004","Q4 12/13  Summer Churner - Treated Customer"
"102435100004","Q4 12/13  Summer Churner - Treated Customer"
"180478100004","Q4 12/13  Summer Churner - Treated Customer"
"105758800004","Q4 12/13  Summer Churner - Treated Customer"
"102973800004","Q4 12/13  Summer Churner - Treated Customer"
"104962400004","Q4 12/13  Summer Churner - Treated Customer"
"101506700004","Q4 12/13  Summer Churner - Treated Customer"
"180507300004","Q4 12/13  Summer Churner - Treated Customer"
"104919700004","Q4 12/13  Summer Churner - Treated Customer"
"105006600004","Q4 12/13  Summer Churner - Treated Customer"
"101918800004","Q4 12/13  Summer Churner - Treated Customer"
"103010300004","Q4 12/13  Summer Churner - Treated Customer"
"181527600004","Q4 12/13  Summer Churner - Treated Customer"
"181925700004","Q4 12/13  Summer Churner - Treated Customer"
"182111000004","Q4 12/13  Summer Churner - Treated Customer"
"182096000004","Q4 12/13  Summer Churner - Treated Customer"
"105337800004","Q4 12/13  Summer Churner - Treated Customer"
"115967200004","Q4 12/13  Summer Churner - Treated Customer"
"181902500004","Q4 12/13  Summer Churner - Treated Customer"
"181182700004","Q4 12/13  Summer Churner - Treated Customer"
"181427200004","Q4 12/13  Summer Churner - Treated Customer"
"105378700004","Q4 12/13  Summer Churner - Treated Customer"
"181912000004","Q4 12/13  Summer Churner - Treated Customer"
"105721300004","Q4 12/13  Summer Churner - Treated Customer"
"181360500004","Q4 12/13  Summer Churner - Treated Customer"
"181953100004","Q4 12/13  Summer Churner - Treated Customer"
"105819900004","Q4 12/13  Summer Churner - Treated Customer"
"181917400004","Q4 12/13  Summer Churner - Treated Customer"
"180150900004","Q4 12/13  Summer Churner - Treated Customer"
"181321400004","Q4 12/13  Summer Churner - Treated Customer"
"104671800004","Q4 12/13  Summer Churner - Treated Customer"
"180582900004","Q4 12/13  Summer Churner - Treated Customer"
"103098100004","Q4 12/13  Summer Churner - Treated Customer"
"181400900004","Q4 12/13  Summer Churner - Treated Customer"
"105364500004","Q4 12/13  Summer Churner - Treated Customer"
"103586800004","Q4 12/13  Summer Churner - Treated Customer"
"101783600004","Q4 12/13  Summer Churner - Treated Customer"
"105953100004","Q4 12/13  Summer Churner - Treated Customer"
"103485400004","Q4 12/13  Summer Churner - Treated Customer"
"105905500004","Q4 12/13  Summer Churner - Treated Customer"
"180567300004","Q4 12/13  Summer Churner - Treated Customer"
"180841800004","Q4 12/13  Summer Churner - Treated Customer"
"181937300004","Q4 12/13  Summer Churner - Treated Customer"
"181160300004","Q4 12/13  Summer Churner - Treated Customer"
"105312200004","Q4 12/13  Summer Churner - Treated Customer"
"100681400004","Q4 12/13  Summer Churner - Treated Customer"
"180077800004","Q4 12/13  Summer Churner - Treated Customer"
"102381000004","Q4 12/13  Summer Churner - Treated Customer"
"105299900004","Q4 12/13  Summer Churner - Treated Customer"
"100714400004","Q4 12/13  Summer Churner - Treated Customer"
"105553500004","Q4 12/13  Summer Churner - Treated Customer"
"180836400004","Q4 12/13  Summer Churner - Treated Customer"
"103863900004","Q4 12/13  Summer Churner - Treated Customer"
"181397500004","Q4 12/13  Summer Churner - Treated Customer"
"181977300004","Q4 12/13  Summer Churner - Treated Customer"
"101170300004","Q4 12/13  Summer Churner - Treated Customer"
"103480900004","Q4 12/13  Summer Churner - Treated Customer"
"102528100004","Q4 12/13  Summer Churner - Treated Customer"
"180280600004","Q4 12/13  Summer Churner - Treated Customer"
"180901700004","Q4 12/13  Summer Churner - Treated Customer"
"180390600004","Q4 12/13  Summer Churner - Treated Customer"
"181292300004","Q4 12/13  Summer Churner - Treated Customer"
"182111400004","Q4 12/13  Summer Churner - Treated Customer"
"101748700004","Q4 12/13  Summer Churner - Treated Customer"
"101727800004","Q4 12/13  Summer Churner - Treated Customer"
"104724400004","Q4 12/13  Summer Churner - Treated Customer"
"101675200004","Q4 12/13  Summer Churner - Treated Customer"
"181275700004","Q4 12/13  Summer Churner - Treated Customer"
"106000300004","Q4 12/13  Summer Churner - Treated Customer"
"102042100004","Q4 12/13  Summer Churner - Treated Customer"
"180571000004","Q4 12/13  Summer Churner - Treated Customer"
"103134300004","Q4 12/13  Summer Churner - Treated Customer"
"105607300004","Q4 12/13  Summer Churner - Treated Customer"
"102338600004","Q4 12/13  Summer Churner - Treated Customer"
"182116000004","Q4 12/13  Summer Churner - Treated Customer"
"103803100004","Q4 12/13  Summer Churner - Treated Customer"
"102228300004","Q4 12/13  Summer Churner - Treated Customer"
"180475500004","Q4 12/13  Summer Churner - Treated Customer"
"100321200004","Q4 12/13  Summer Churner - Treated Customer"
"100709700004","Q4 12/13  Summer Churner - Treated Customer"
"104706700004","Q4 12/13  Summer Churner - Treated Customer"
"100536500004","Q4 12/13  Summer Churner - Treated Customer"
"142680100004","Q4 12/13  Summer Churner - Treated Customer"
"182103300004","Q4 12/13  Summer Churner - Treated Customer"
"105333400004","Q4 12/13  Summer Churner - Treated Customer"
"100561100004","Q4 12/13  Summer Churner - Treated Customer"
"100596900004","Q4 12/13  Summer Churner - Treated Customer"
"119628100004","Q4 12/13  Summer Churner - Treated Customer"
"105437700004","Q4 12/13  Summer Churner - Treated Customer"
"105536800004","Q4 12/13  Summer Churner - Treated Customer"
"104434600004","Q4 12/13  Summer Churner - Treated Customer"
"181914800004","Q4 12/13  Summer Churner - Treated Customer"
"101696600004","Q4 12/13  Summer Churner - Treated Customer"
"181127200004","Q4 12/13  Summer Churner - Treated Customer"
"181193300004","Q4 12/13  Summer Churner - Treated Customer"
"180795300004","Q4 12/13  Summer Churner - Treated Customer"
"103040100004","Q4 12/13  Summer Churner - Treated Customer"
"103032300004","Q4 12/13  Summer Churner - Treated Customer"
"100557400004","Q4 12/13  Summer Churner - Treated Customer"
"105330600004","Q4 12/13  Summer Churner - Treated Customer"
"104225000004","Q4 12/13  Summer Churner - Treated Customer"
"102917100004","Q4 12/13  Summer Churner - Treated Customer"
"102997900004","Q4 12/13  Summer Churner - Treated Customer"
"103658800004","Q4 12/13  Summer Churner - Treated Customer"
"181277800004","Q4 12/13  Summer Churner - Treated Customer"
"101243700004","Q4 12/13  Summer Churner - Treated Customer"
"181395100004","Q4 12/13  Summer Churner - Treated Customer"
"181411300004","Q4 12/13  Summer Churner - Treated Customer"
"181511600004","Q4 12/13  Summer Churner - Treated Customer"
"106000100004","Q4 12/13  Summer Churner - Treated Customer"
"101426200004","Q4 12/13  Summer Churner - Treated Customer"
"102921200004","Q4 12/13  Summer Churner - Treated Customer"
"181967300004","Q4 12/13  Summer Churner - Treated Customer"
"105322100004","Q4 12/13  Summer Churner - Treated Customer"
"104177100004","Q4 12/13  Summer Churner - Treated Customer"
"137552200004","Q4 12/13  Summer Churner - Treated Customer"
"101845200004","Q4 12/13  Summer Churner - Treated Customer"
"105868500004","Q4 12/13  Summer Churner - Treated Customer"
"132523400004","Q4 12/13  Summer Churner - Treated Customer"
"181171500004","Q4 12/13  Summer Churner - Treated Customer"
"105007400004","Q4 12/13  Summer Churner - Treated Customer"
"104785900004","Q4 12/13  Summer Churner - Treated Customer"
"101831500004","Q4 12/13  Summer Churner - Treated Customer"
"100679600004","Q4 12/13  Summer Churner - Treated Customer"
"105971500004","Q4 12/13  Summer Churner - Treated Customer"
"104124600004","Q4 12/13  Summer Churner - Treated Customer"
"181291100004","Q4 12/13  Summer Churner - Treated Customer"
"101730400004","Q4 12/13  Summer Churner - Treated Customer"
"106008800004","Q4 12/13  Summer Churner - Treated Customer"
"180424800004","Q4 12/13  Summer Churner - Treated Customer"
"103641600004","Q4 12/13  Summer Churner - Treated Customer"
"181412600004","Q4 12/13  Summer Churner - Treated Customer"
"102930000004","Q4 12/13  Summer Churner - Treated Customer"
"100070800004","Q4 12/13  Summer Churner - Treated Customer"
"181180500004","Q4 12/13  Summer Churner - Treated Customer"
"104126100004","Q4 12/13  Summer Churner - Treated Customer"
"102912200004","Q4 12/13  Summer Churner - Treated Customer"
"181436800004","Q4 12/13  Summer Churner - Treated Customer"
"102501500004","Q4 12/13  Summer Churner - Treated Customer"
"105912300004","Q4 12/13  Summer Churner - Treated Customer"
"103879400004","Q4 12/13  Summer Churner - Treated Customer"
"180513100004","Q4 12/13  Summer Churner - Treated Customer"
"105426900004","Q4 12/13  Summer Churner - Treated Customer"
"101792500004","Q4 12/13  Summer Churner - Treated Customer"
"180544500004","Q4 12/13  Summer Churner - Treated Customer"
"109949600004","Q4 12/13  Summer Churner - Treated Customer"
"180883000004","Q4 12/13  Summer Churner - Treated Customer"
"140804400004","Q4 12/13  Summer Churner - Treated Customer"
"101270000004","Q4 12/13  Summer Churner - Treated Customer"
"101709300004","Q4 12/13  Summer Churner - Treated Customer"
"104942200004","Q4 12/13  Summer Churner - Treated Customer"
"103639200004","Q4 12/13  Summer Churner - Treated Customer"
"101725300004","Q4 12/13  Summer Churner - Treated Customer"
"140056000004","Q4 12/13  Summer Churner - Treated Customer"
"104248400004","Q4 12/13  Summer Churner - Treated Customer"
