billingsubaccount,outletsubaccount,agreementid,chargeableid,offercode,overrideprice,effectivedate
180345900003,180345900004,00000000000000332410_00000001333378718947_00114,00000000000000669526_00000001379774343869_00329,RUK_ALC_GEN_O  ,43.75,01/08/2016
180756800003,180756800004,00000000000000301280_00000001328797075662_00166,00000000000000673284_00000001380298476541_00197,RUK_ALC_GEN_O  ,43.75,01/08/2016
180949300003,180949300004,00000000000000340432_00000001334588452122_00216,00000000000000668015_00000001379522619048_00551,RUK_ALC_GEN_O  ,43.75,01/08/2016
181334100003,181334100004,00000000000000396111_00000001342626762633_00167,00000000000000668015_00000001379522787285_00563,RUK_ALC_GEN_O  ,43.75,01/08/2016
181334200003,181334200004,00000000000000396082_00000001342627235632_00206,00000000000000668035_00000001379522816880_00425,RUK_ALC_GEN_O  ,43.75,01/08/2016
181334400003,181334400004,00000000000000395942_00000001342627696885_00113,00000000000000906349_00000001411653824949_00576,RUK_ALC_GEN_O  ,43.75,01/08/2016
181335200003,181335200004,00000000000000395853_00000001342629356922_00253,00000000000000668303_00000001379522878095_00513,RUK_ALC_GEN_O  ,43.75,01/08/2016
181335500003,181335500004,00000000000000395903_00000001342629978741_00390,00000000000000667803_00000001379522961909_00665,RUK_ALC_GEN_O  ,43.75,01/08/2016
181335700003,181335700004,00000000000000395855_00000001342630378459_00182,00000000000000668399_00000001379522986373_00256,RUK_ALC_GEN_O  ,43.75,01/08/2016
181481000003,181481000004,00000000000000426506_00000001346412136508_00050,00000000000000669710_00000001379785093815_00769,RUK_ALC_GEN_O  ,43.75,01/08/2016
182746800003,182746800004,00000000000000635965_00000001375355488312_00041,00000000000000670495_00000001379847499709_00127,RUK_ALC_GEN_O  ,43.75,01/08/2016
182788700003,182788700004,00000000000000666531_00000001379325561048_00007,00000000000000673291_00000001380392563470_01165,RUK_STA_GEN_O  ,43.75,01/08/2016
182796900003,182796900004,00000000000000666686_00000001379326620625_00001,00000000000000673298_00000001380394762945_02051,RUK_STA_GEN_O  ,43.75,01/08/2016
182890200003,182890200004,00000000000000665970_00000001379325562542_00182,00000000000000673305_00000001380399377899_01320,RUK_STA_GEN_O  ,43.75,01/08/2016
182925700003,182925700004,00000000000000665982_00000001379338651250_00179,00000000000000673298_00000001380386763013_01907,RUK_STA_GEN_O  ,43.75,01/08/2016
182933700003,182933700004,00000000000000666658_00000001379338654755_00290,00000000000000673346_00000001380388722102_00451,RUK_STA_GEN_O  ,43.75,01/08/2016
182959700003,182959700004,00000000000000666057_00000001379326630010_00198,00000000000000673946_00000001380628189660_00373,RUK_STA_GEN_O  ,43.75,01/08/2016
182963200003,182963200004,00000000000000666460_00000001379326630568_00103,00000000000000673528_00000001380554573474_01553,RUK_STA_GEN_O  ,43.75,01/08/2016
182977700003,182977700004,00000000000000665970_00000001379326631845_00248,00000000000000672955_00000001380403873748_01725,RUK_STA_GEN_O  ,43.75,01/08/2016
183025400003,183025400004,00000000000000669007_00000001379668627592_00060,00000000000000692716_00000001383126175810_00079,RUK_ALC_GEN_O  ,43.75,01/08/2016
#N/A,101963600004,00000000000000666658_00000001379337329801_00218,00000000000000673917_00000001380621218257_00108,RUK_STA_GEN_O  ,43.75,01/08/2016
101473600003,101473600004,00000000000000666088_00000001379337325240_00253,00000000000000668485_00000001379598574081_00588,RUK_STA_GEN_O  ,45.41,01/08/2016
101943200003,101943200004,MIGPRD00000000450481_00000008060041648313_63540,00000000000000673378_00000001380551918033_00584,RUK_ALC_GEN_O  ,45.41,01/08/2016
182888700003,182888700004,00000000000000666603_00000001379326625659_00039,00000000000000673305_00000001380399263789_01300,RUK_STA_GEN_O  ,45.41,01/08/2016
182960400003,182960400004,00000000000000666561_00000001379325563556_00001,00000000000000674514_00000001380628360031_00029,RUK_STA_GEN_O  ,45.41,01/08/2016
100125900003,100125900004,MIGPRD00000000432309_00000008060041645905_95890,00000000000000922884_00000001413991264420_00303,RUK_ALC_GEN_O  ,52.50,01/08/2016
100202200003,100202200004,MIGPRD00000000433072_00000008060042036410_67926,00000000000000673958_00000001380622323365_00160,RUK_ALC_GEN_O  ,52.50,01/08/2016
100365500003,100365500004,MIGPRD00000000434705_00000008060041192016_14886,00000000000000673447_00000001380215452430_00335,RUK_ALC_GEN_O  ,52.50,01/08/2016
100562000003,100562000004,MIGPRD00000000436670_00000008060041992785_90326,00000000000000673034_00000001380278965100_00291,RUK_ALC_GEN_O  ,52.50,01/08/2016
100573600003,100573600004,MIGPRD00000000436786_00000008060041858512_01306,00000000000000673298_00000001380215190223_00618,RUK_ALC_GEN_O  ,52.50,01/08/2016
100594700003,100594700004,MIGPRD00000000436997_00000008060041813910_21043,00000000000000674273_00000001380622731020_00100,RUK_ALC_GEN_O  ,52.50,01/08/2016
100651300003,100651300004,00000000000000330503_00000001333018267486_00055,00000000000000668447_00000001379590201966_00414,RUK_ALC_GEN_O  ,52.50,01/08/2016
100709100003,100709100004,MIGPRD00000000438141_00000008060041381315_31122,00000000000000670515_00000001379844444378_00193,RUK_ALC_GEN_O  ,52.50,01/08/2016
100719400003,100719400004,00000000000000666261_00000001379337326882_00386,00000000000000673447_00000001380223862430_00471,RUK_STA_GEN_O  ,52.50,01/08/2016
100782000003,100782000004,MIGPRD00000000438870_00000008060041678153_03126,00000000000000706731_00000001384794489480_00677,RUK_ALC_GEN_O  ,52.50,01/08/2016
