"Sky Reference Number - Outlet","Marketing tag"
"104322200004","Q4 12/13  Rugby  - Treated Customer"
"101445100004","Q4 12/13  Rugby  - Treated Customer"
"180256700004","Q4 12/13  Rugby  - Treated Customer"
"105505100004","Q4 12/13  Rugby  - Treated Customer"
"104888200004","Q4 12/13  Rugby  - Treated Customer"
"104441200004","Q4 12/13  Rugby  - Treated Customer"
"103481400004","Q4 12/13  Rugby  - Treated Customer"
"103813600004","Q4 12/13  Rugby  - Treated Customer"
"100847900004","Q4 12/13  Rugby  - Treated Customer"
"100920700004","Q4 12/13  Rugby  - Treated Customer"
"100789000004","Q4 12/13  Rugby  - Treated Customer"
"103383500004","Q4 12/13  Rugby  - Treated Customer"
"105644100004","Q4 12/13  Rugby  - Treated Customer"
"105102700004","Q4 12/13  Rugby  - Treated Customer"
"101435400004","Q4 12/13  Rugby  - Treated Customer"
"102465000004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"180232700004","Q4 12/13  Rugby  - Treated Customer"
"104739000004","Q4 12/13  Rugby  - Treated Customer"
"103604200004","Q4 12/13  Rugby  - Treated Customer"
"102941000004","Q4 12/13  Rugby  - Treated Customer"
"104523400004","Q4 12/13  Rugby  - Treated Customer"
"103694200004","Q4 12/13  Rugby  - Treated Customer"
"102528300004","Q4 12/13  Rugby  - Treated Customer"
"100068900004","Q4 12/13  Rugby  - Treated Customer"
"103986500004","Q4 12/13  Rugby  - Treated Customer"
"101846200004","Q4 12/13  Rugby  - Treated Customer"
"103502900004","Q4 12/13  Rugby  - Treated Customer"
"103458900004","Q4 12/13  Rugby  - Treated Customer"
"104859100004","Q4 12/13  Rugby  - Treated Customer"
"121844100004","BNB 12-13"
"134268100004","BNB 12-13"
"115362600004","BNB 12-13"
"133463700004","BNB 12-13"
"182534700004","BNB 12-13"
"182534800004","BNB 12-13"
"181183600004","BNB 12-13"
"135376900004","BNB 12-13"
"182535400004","BNB 12-13"
"117440300004","BNB 12-13"
"132552100004","BNB 12-13"
"107236200004","BNB 12-13"
"132114700004","BNB 12-13"
"119318000004","BNB 12-13"
"182530600004","BNB 12-13"
"120013000004","BNB 12-13"
"182530700004","BNB 12-13"
"182530900004","BNB 12-13"
"182523300004","BNB 12-13"
"139073900004","BNB 12-13"
"114069700004","BNB 12-13"
"182523500004","BNB 12-13"
"182523800004","BNB 12-13"
"112291400004","BNB 12-13"
"122718600004","BNB 12-13"
"118960000004","BNB 12-13"
"131301700004","BNB 12-13"
