SubAccountNumber,EscalatedNote,Action
105772300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105796700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105810600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105814500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105832000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105890100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105894900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105921100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105924300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105951200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105952000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105955200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105958400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105996400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106043100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106077600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106089800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106119300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106151800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106211400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106237700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106327200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106370500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106526600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106548400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106579800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106582400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106605300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106666600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106698500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106704300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106754200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106808100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106869900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106879000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106912700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
106915400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
107001100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
107289600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
107374000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
107448100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
107482700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
107637900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
107675000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
107891400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
108155100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
108279300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
109057100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
109167600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
109431400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
109535700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
109708100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
109732600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
109906300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
109930600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
109939500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
109942600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110028900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110111000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110164800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110244200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110285500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110297900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110317000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
