Sky Reference Number - Outlet,Total Weighting,Territory Code,,,,,,
136591100004,39,37,,,,,,
100053200050,37,37,,,,,,
104292700004,37,37,,,,,,
105177000004,37,37,,,,,,
106200800004,37,37,,,,,,
106513500004,37,37,,,,,,
106808700004,37,37,,,,,,
108001100004,37,37,,,,,,
109710400004,37,37,,,,,,
110346700004,37,37,,,,,,
110775600004,37,37,,,,,,
110989600004,37,37,,,,,,
111220100004,37,37,,,,,,
111916600004,37,37,,,,,,
112015200004,37,37,,,,,,
114698900004,37,37,,,,,,
115318500004,37,37,,,,,,
115993100004,37,37,,,,,,
116210300004,37,37,,,,,,
116744000004,37,37,,,,,,
118833100004,37,37,,,,,,
119159300004,37,37,,,,,,
119166300004,37,37,,,,,,
119715000004,37,37,,,,,,
119715800004,37,37,,,,,,
119893000004,37,37,,,,,,
123150600004,37,37,,,,,,
124756000004,37,37,,,,,,
124830600004,37,37,,,,,,
125038500004,37,37,,,,,,
125371400004,37,37,,,,,,
126092100004,37,37,,,,,,
126224900004,37,37,,,,,,
127420300004,37,37,,,,,,
128031100004,37,37,,,,,,
128548700004,37,37,,,,,,
128780700004,37,37,,,,,,
129261400004,37,37,,,,,,
129438700004,37,37,,,,,,
129722400004,37,37,,,,,,
130462300004,37,37,,,,,,
131397100004,37,37,,,,,,
132094200004,37,37,,,,,,
132609900004,37,37,,,,,,
133207200004,37,37,,,,,,
133473200004,37,37,,,,,,
135339400004,37,37,,,,,,
136413300004,37,37,,,,,,
136975200004,37,37,,,,,,
136985300004,37,37,,,,,,
137345900004,37,37,,,,,,
139303200004,37,37,,,,,,
139609500004,37,37,,,,,,
139681900004,37,37,,,,,,
139844900004,37,37,,,,,,
181827700004,37,37,,,,,,
185488900004,37,37,,,,,,
102257400004,35,37,,,,,,
103449600004,35,37,,,,,,
103846800004,35,37,,,,,,
106200400004,35,37,,,,,,
106324400004,35,37,,,,,,
111351400004,35,37,,,,,,
112014800004,35,37,,,,,,
117216200004,35,37,,,,,,
119595000004,35,37,,,,,,
122525800004,35,37,,,,,,
124834800004,35,37,,,,,,
128465100004,35,37,,,,,,
139510400004,9999,38,,,,,,
142469200004,9999,38,,,,,,
182628600004,9999,38,,,,,,
183506500004,9999,38,,,,,,
183873000004,9999,38,,,,,,
183987100004,9999,38,,,,,,
184645200004,9999,38,,,,,,
184674000004,9999,38,,,,,,
185111800004,9999,38,,,,,,
185134600004,9999,38,,,,,,
185164200004,9999,38,,,,,,
185835700004,9999,38,,,,,,
104972400004,9998,38,,,,,,
124454000004,9998,38,,,,,,
184738500004,9998,38,,,,,,
101767500004,9997,38,,,,,,
107577900004,9997,38,,,,,,
110355300004,9997,38,,,,,,
121096200004,9997,38,,,,,,
126878700004,9997,38,,,,,,
141832100004,9997,38,,,,,,
183548200004,9997,38,,,,,,
100031000083,75,38,,,,,,
100128500004,75,38,,,,,,
100750900004,75,38,,,,,,
101060900004,75,38,,,,,,
101536300004,75,38,,,,,,
102009000004,75,38,,,,,,
102306300004,75,38,,,,,,
102374200004,75,38,,,,,,
103480900004,75,38,,,,,,
103807500004,75,38,,,,,,
104109100004,75,38,,,,,,
104367900004,75,38,,,,,,
104462400004,75,38,,,,,,
104516400004,75,38,,,,,,
104639700004,75,38,,,,,,
104724400004,75,38,,,,,,
104889600004,75,38,,,,,,
104985400004,75,38,,,,,,
105074500004,75,38,,,,,,
105230000004,75,38,,,,,,
105475900004,75,38,,,,,,
105707400004,75,38,,,,,,
106345800004,75,38,,,,,,
110522700004,75,38,,,,,,
111059100004,75,38,,,,,,
111139200004,75,38,,,,,,
111140100004,75,38,,,,,,
111189200004,75,38,,,,,,
111222400004,75,38,,,,,,
111642800004,75,38,,,,,,
115334800004,75,38,,,,,,
116808400004,75,38,,,,,,
120188900004,75,38,,,,,,
123407100004,75,38,,,,,,
124424000004,75,38,,,,,,
127153800004,75,38,,,,,,
128220400004,75,38,,,,,,
128353000004,75,38,,,,,,
128981600004,75,38,,,,,,
130793700004,75,38,,,,,,
131180600004,75,38,,,,,,
