Sky Reference Number - Outlet,Total Weighting,Territory Code
100131400004,9999,1
100132300004,10,25
100132600004,15,39
100133200004,10,10
100133400004,0,5
100137800004,30,40
100138300004,10,6
100138600004,0,1
100139900004,0,24
100142600004,30,11
100152400004,20,44
100154700004,30,1
100155000004,0,38
100156400004,30,37
100156800004,30,44
100156900004,10,9
100157500004,10,42
100160000004,20,8
100160800004,0,16
100161400004,0,41
100163700004,10,40
100165300004,20,42
100165900004,30,25
100166000004,17,5
100166900004,0,16
100168200004,0,43
100168500004,30,35
100169000004,20,40
100170100004,30,23
100170200004,10,4
100170900004,10,6
100172000004,40,25
100175200004,45,10
100177000004,10,23
100179500004,0,27
100180200004,10,13
100181100004,0,34
100181800004,25,16
100182100004,40,25
100183100004,30,4
100185500004,17,30
100187000004,10,28
100187600004,10,43
100189100004,0,23
100190900004,57,15
100196600004,20,21
100196700004,5,44
100197100004,30,41
100197500004,30,20
100197600004,0,28
100200100004,25,41
100205300004,0,19
100209000004,10,33
100210200004,30,25
100212100004,37,25
100213400004,10,33
100214000004,0,7
100214600004,0,24
100214900004,30,15
100215100004,10,14
100215300004,30,15
100216400004,20,30
100220500004,20,8
100222000004,10,39
100225500004,20,23
100228100004,0,2
100229500004,0,6
100229900004,30,29
100231000004,0,30
100233800004,25,22
100234000004,2,3
100234700004,30,36
100235200004,10,28
100235800004,0,26
100237300004,17,14
100242300004,10,44
100242400004,30,23
100244500004,30,2
100244800004,10,22
100245600004,0,4
100245700004,37,21
100246700004,30,20
100247900004,30,35
100248800004,20,19
100252100004,0,19
100252500004,37,39
100254600004,10,8
100258500004,10,6
100260100004,0,23
100260500004,20,22
100264200004,0,40
100265400004,10,34
100266600004,0,12
100267000004,30,1
100268600004,30,6
100269200004,10,26
100269700004,0,24
100272700004,15,12
100274900004,0,32
100275000004,0,7
100276000004,25,10
100277200004,37,18
100278900004,0,42
100279100004,15,14
100279900004,9999,12
100280000004,10,2
100281300004,10,20
100283500004,30,30
100286200004,30,17
100287500004,9999,1
100288100004,10,33
100290700004,20,22
100291800004,5,2
100291900004,10,9
100297400004,25,21
100299700004,10,9
100299800004,10,2
100300300004,25,4
100301800004,9999,1
100303000004,9999,1
100303600004,0,3
100304800004,10,38
100305900004,10,3
100306200004,20,22
100307600004,30,33
100308600004,30,4
100309800004,30,2
100309900004,0,22
100311600004,0,13
100314300004,30,40
100315000004,5,35
100317400004,10,8
100319700004,30,35
100320400004,40,1
100325600004,0,34
100326000004,0,24
100327900004,30,8
100328700004,25,30
100334700004,25,1
100335300004,0,28
100336200004,0,39
100337200004,0,10
100337500004,30,42
100338100004,12,22
100338600004,37,27
100339100004,25,19
100341200004,0,27
100341600004,30,30
100342700004,25,31
100343100004,0,27
100344300004,30,19
100344600004,20,6
100346100004,0,23
100347100004,17,1
100349600004,32,36
100350400004,37,8
100351300004,40,23
100351700004,17,1
100353100004,25,18
100354100004,47,22
100354700004,10,10
100355200004,0,18
100357700004,30,10
100359400004,10,19
100363800004,10,5
100364200004,10,4
100368000004,30,6
100370800004,20,30
100372100004,37,28
100373900004,30,35
100374300004,20,44
100375200004,25,42
100375600004,12,26
100377000004,30,17
100382800004,30,44
100384700004,42,37
100387300004,35,1
100388500004,10,25
100390200004,30,29
100392200004,27,41
100392700004,30,20
100392800004,30,4
100392900004,10,43
100394500004,40,23
100394700004,25,15
100395100004,47,17
100397600004,0,18
100399400004,10,4
100401200004,9999,23
100401900004,15,44
100403500004,40,29
100403900004,30,27
100404400004,17,6
100405400004,25,7
100405600004,30,39
100406500004,25,42
100406800004,30,17
100407300004,37,36
100407500004,37,12
100407600004,27,29
100409500004,0,12
100411900004,37,33
100414000004,40,34
100414100004,0,14
100414900004,15,7
100415200004,32,16
100415900004,10,14
100416500004,30,3
100419000004,20,12
100419100004,30,23
100419200004,30,26
100420200004,10,1
100420900004,10,9
100422700004,30,14
100422800004,10,6
100422900004,0,25
100423500004,15,5
100423900004,30,3
100424300004,15,42
100428500004,0,30
100429900004,10,19
100430400004,30,2
100430500004,7,14
100432100004,44,35
100432800004,30,29
100435100004,0,30
100435400004,40,44
100436300004,30,28
100438700004,9999,4
100442800004,5,44
100443600004,30,25
100444600004,0,16
100449000004,20,1
100449800004,30,40
100450100004,30,8
100452400004,37,33
100453900004,20,26
100455000004,14,28
100457100004,9999,2
100459900004,30,6
100460500004,0,30
100462800004,30,28
100463400004,47,8
100464900004,10,5
100465400004,25,16
100467200004,0,41
100472600004,37,30
100474200004,0,39
100474500004,0,23
100474600004,10,30
100474900004,9999,1
100475000004,30,38
100477800004,30,23
100478600004,0,36
100480400004,30,4
100483200004,30,25
100485400004,20,9
100486300004,30,23
100486600004,7,30
100489900004,9999,2
100490100004,40,44
100490400004,37,15
100491000004,0,16
100492600004,20,24
100493000004,30,31
100493900004,30,36
100494800004,20,19
100496200004,35,17
100497500004,20,1
100498500004,30,22
100499100004,0,32
100499400004,10,34
100499700004,30,29
100500100004,0,20
100500500004,25,39
100500600004,30,16
100501100004,30,33
100501200004,30,15
100502000004,15,27
100503200004,25,26
100504000004,15,4
100504400004,0,19
100504900004,20,10
100505400004,30,40
100507100004,47,38
100507500004,20,17
100509400004,30,8
100510600004,30,26
100514400004,25,8
100516300004,20,41
100518100004,9,1
100518700004,15,2
100518900004,20,44
100519300004,10,1
100520800004,15,9
100522000004,0,14
100522100004,30,8
100522500004,0,24
100523800004,30,33
100525000004,0,37
100525600004,19,9
100529400004,57,22
100531100004,30,38
100531400004,0,19
100533000004,30,17
100533200004,30,33
100534900004,30,37
100536100004,37,14
100537900004,30,2
100538300004,30,23
100538800004,0,33
100543400004,25,3
100543700004,35,13
100544400004,25,6
100545300004,10,23
100546000004,30,23
100546200004,7,30
100546700004,0,23
100547500004,35,8
100547600004,20,1
100547700004,30,39
100549700004,30,33
100550700004,9999,1
100551000004,0,18
100551900004,22,30
100553700004,30,8
100558300004,25,28
100560000004,20,42
100560700004,20,7
100564700004,30,26
100565700004,37,6
100566300004,40,3
100568900004,9999,1
100571300004,40,8
100572100004,30,37
100573100004,30,2
100575600004,17,19
100576500004,0,22
100577600004,20,8
100579000004,25,8
100581200004,0,11
100581900004,30,8
100587000004,20,43
100589700004,30,8
100591800004,9,9
100591900004,30,40
100592100004,25,26
100592900004,0,22
100593300004,9999,40
100595200004,30,31
100595500004,30,11
100595800004,30,3
100597300004,30,39
100597900004,40,38
100599800004,30,40
100604500004,30,8
100606100004,15,8
100607100004,7,19
100610000004,0,11
100613800004,0,36
100615000004,9999,15
100616600004,27,6
100617000004,25,14
100617100004,7,10
100617200004,40,1
100619600004,20,17
100621100004,15,15
100622500004,0,25
100623300004,30,31
100624600004,0,44
100626400004,40,38
100627100004,30,4
100628300004,0,40
100629500004,20,23
100631200004,30,7
100631700004,9999,25
100631900004,9,2
100632100004,10,3
100632900004,9999,41
100636200004,0,30
100636800004,0,38
100638400004,0,8
100640400004,30,1
100641800004,30,34
100643300004,20,28
100644300004,30,2
100645500004,25,44
100646200004,15,23
100648400004,20,22
100650300004,20,34
100651200004,37,33
100651800004,30,4
100655800004,30,29
100656200004,9999,1
100657100004,30,11
100657700004,20,7
100657800004,10,8
100660700004,0,4
100662000004,27,28
100662700004,0,40
100663500004,7,32
100665300004,5,39
100666800004,10,7
100667000004,30,23
100667800004,10,20
100668300004,0,2
100669700004,0,5
100669800004,0,1
100673100004,37,26
100673200004,30,22
100673900004,30,10
100675100004,20,23
100675200004,30,29
100676700004,30,20
100676800004,37,1
100677600004,20,14
100679200004,30,20
100679700004,0,3
100680600004,0,6
100681400004,47,22
100682100004,30,15
100684300004,17,1
100684600004,20,42
100684800004,0,38
100686100004,30,6
100689600004,10,31
100691800004,37,30
100694800004,27,15
100697000004,0,4
100698300004,20,43
100699500004,27,14
100699800004,20,11
100700100004,30,10
100700200004,15,37
100701700004,0,5
100704200004,27,28
100705600004,0,14
100708500004,10,2
100709200004,17,7
100710500004,20,39
100713000004,20,28
100713300004,0,25
100714400004,40,1
100719500004,0,2
100720600004,20,4
100721000004,0,29
100722800004,20,3
100724200004,10,38
100725500004,10,33
100726900004,30,14
100727800004,20,8
100728100004,0,14
100728900004,20,3
100729500004,10,3
100731700004,0,13
100733000004,20,31
100739100004,20,12
100739300004,30,23
100749800004,20,19
100750900004,30,38
100755600004,10,4
100758300004,30,3
100760800004,20,24
100761000004,0,15
100762000004,0,23
100762400004,20,4
100765100004,25,11
100765200004,30,1
100766700004,20,2
100767100004,30,40
100767500004,30,29
100767700004,15,10
100771000004,0,42
100773200004,9999,25
100779100004,10,28
100787800004,30,42
100788700004,9999,42
100790700004,30,20
100792500004,0,27
100793500004,0,7
100793700004,0,23
100794100004,10,25
100796300004,25,7
100798200004,10,3
100800400004,0,8
100800900004,9999,25
100801700004,0,12
100802700004,9999,2
100804200004,0,12
100804300004,20,23
100805200004,30,37
100807000004,0,42
100808000004,47,28
100813000004,40,10
100814900004,0,41
100815800004,30,42
100816300004,0,5
100817500004,37,9
100820600004,47,33
100822500004,37,33
100823100004,20,41
100824600004,9,30
100825300004,47,40
100825500004,10,33
100829900004,30,1
100832000004,37,44
100832200004,0,8
100835500004,30,17
100837000004,20,19
100840000004,10,38
100840600004,30,23
100841600004,20,26
100842700004,10,27
100844300004,30,3
100845700004,25,33
100846600004,10,30
100847500004,0,34
100847700004,30,44
100849000004,0,31
100851600004,15,44
100853000004,15,5
100856500004,0,10
100857600004,20,23
100858900004,30,3
100860200004,30,33
100862000004,20,34
100862100004,17,10
100862300004,20,2
100867900004,37,41
100868400004,20,28
100871400004,30,6
100873300004,25,43
100875100004,9999,22
100875800004,40,30
100875900004,10,17
100877300004,0,38
100880200004,37,1
100887200004,0,42
100889900004,30,13
100891300004,30,2
100892700004,30,29
100893900004,0,30
100897000004,0,13
100898200004,30,44
100899000004,20,24
100901100004,0,11
100901900004,20,24
100903300004,17,13
100904400004,10,31
100908500004,9999,43
100908600004,32,38
100910300004,30,23
100910500004,37,23
100913300004,25,33
100914000004,10,10
100915800004,40,39
100920600004,10,28
100922700004,30,44
100925300004,15,41
100926000004,40,5
100927000004,15,18
100927200004,40,33
100928600004,20,5
100929700004,37,21
100931300004,10,1
100932600004,0,6
100933600004,30,10
100933800004,25,32
100934700004,30,1
100935000004,30,42
100935700004,10,30
100937300004,0,2
100939800004,25,19
100940800004,30,1
100941000004,10,37
100941400004,30,28
100944900004,10,1
100946300004,20,27
100946700004,30,39
100947400004,30,17
100947700004,30,37
100948600004,37,44
100949800004,20,27
100954200004,20,38
100958000004,25,41
100959200004,0,35
100960400004,30,7
100960900004,30,20
100963100004,25,33
100964600004,30,35
100966900004,30,3
100967800004,9999,4
100969700004,47,39
100970300004,25,2
100970700004,30,6
100975100004,30,1
100975700004,30,9
100976100004,37,39
100978200004,30,25
100978600004,30,43
100979200004,20,44
100979600004,9999,4
100980700004,30,4
100981200004,30,38
100982000004,10,14
100983300004,30,36
100984100004,0,13
100987300004,30,1
100987700004,0,7
100987900004,20,12
100989100004,10,4
100990000004,30,23
100990200004,40,5
100990400004,9999,1
100990600004,40,29
100991000004,30,2
100991900004,10,3
100996100004,20,2
100996600004,47,17
100998200004,37,33
100998600004,40,32
101000900004,30,4
101002800004,47,22
101003900004,0,29
101005000004,15,2
101005100004,25,40
101008100004,0,26
101009900004,30,44
101010400004,10,25
101012100004,40,2
101012500004,27,26
101013100004,32,34
101014500004,35,36
101014800004,10,4
101015400004,30,43
101016300004,30,32
101018700004,50,23
101019800004,30,9
101023300004,30,28
101025200004,15,24
101028200004,30,13
101029200004,10,2
101031500004,0,2
101033200004,30,39
101034000004,12,9
101034700004,9999,8
101036500004,25,4
101038300004,30,25
101041500004,30,32
101045200004,20,3
101047100004,30,12
101047800004,30,8
101048600004,10,21
101049200004,25,41
101049400004,30,40
101049800004,20,38
101052200004,10,19
101055300004,30,44
101055700004,25,44
101059400004,30,1
101059900004,9999,4
101060700004,40,17
101061100004,30,33
101066300004,0,38
101067300004,30,36
101067800004,30,42
101068600004,10,37
101069300004,47,36
101072300004,30,28
101077100004,30,22
101078100004,0,35
101078400004,30,22
101079700004,40,3
101079900004,30,22
101081300004,0,22
101084300004,20,19
101088900004,9999,4
101089000004,30,41
101090800004,30,30
101091200004,0,1
101091400004,25,12
101091500004,0,42
101092000004,47,33
101093900004,30,31
101094000004,30,24
101095200004,7,10
101095800004,30,15
101096400004,0,41
101097300004,0,4
101098300004,9999,2
101098500004,0,42
101099500004,0,5
101099700004,30,23
101102200004,0,36
101103500004,30,3
101104300004,20,44
101106000004,30,44
101107300004,9999,42
101109200004,0,30
101109400004,10,27
101110100004,10,10
101111500004,30,22
101111800004,0,14
101112100004,10,30
101112300004,10,39
101112900004,30,25
101113800004,30,22
101114600004,30,29
101118400004,10,35
101119500004,9999,1
101119600004,30,44
101119900004,30,29
101120500004,32,29
101120800004,0,38
101121100004,10,5
101121600004,30,20
101121800004,30,36
101122900004,5,4
101123300004,30,24
101124400004,0,12
101125800004,37,19
101129800004,32,31
101131600004,25,18
101132800004,30,17
101133200004,20,23
101133300004,30,22
101133700004,30,22
101136700004,5,41
101138000004,37,23
101140200004,35,22
101140400004,15,31
101141900004,30,33
101146100004,27,43
101149600004,10,28
101149800004,0,10
101150700004,20,31
101152100004,30,15
101152600004,30,2
101153100004,30,44
101153700004,25,26
101155600004,10,1
101157000004,40,4
101158400004,30,31
101158700004,37,8
101159800004,30,25
101160100004,0,42
101162400004,10,8
101163700004,25,1
101165000004,40,22
101167400004,9999,6
101168000004,9999,40
101169900004,15,20
101170800004,30,33
101173800004,0,23
101174000004,30,4
101176000004,9999,25
101178300004,15,6
101178500004,0,25
101180600004,30,15
101180800004,40,15
101181500004,9999,45
101182000004,9999,8
101182800004,0,30
101187600004,30,7
101188600004,30,41
101190900004,40,3
101192900004,25,20
101193000004,20,5
101195100004,0,21
101195300004,10,8
101195400004,9999,37
101196200004,30,2
101197400004,25,24
101200500004,20,8
101202700004,50,34
101202900004,30,29
101204100004,0,38
101204300004,30,38
101207200004,25,30
101207600004,0,7
101210000004,9999,39
101211200004,0,2
101212700004,20,33
101214500004,7,41
101217800004,30,40
101218500004,30,23
101218600004,20,26
101221500004,15,16
101223000004,20,20
101226700004,0,2
101227600004,5,4
101228700004,30,15
101229000004,0,37
101231600004,0,19
101231800004,30,28
101232000004,9999,42
101232100004,20,22
101232500004,40,10
101234300004,0,39
101234800004,20,20
101237700004,15,3
101239500004,20,28
101242900004,20,23
101243500004,30,35
101243700004,20,19
101243900004,30,2
101244700004,15,4
101245700004,0,30
101247000004,30,44
101248800004,20,35
101248900004,20,9
101254600004,15,38
101256600004,40,7
101256800004,20,10
101257700004,30,30
101260000004,9999,40
101261000004,30,28
101261100004,30,41
101261400004,25,22
101262200004,9998,24
101263300004,20,23
101264400004,30,23
101265300004,40,17
101267300004,0,43
101268100004,30,36
101270500004,30,4
101270700004,0,41
101271100004,0,5
101271600004,30,27
101271800004,0,18
101272600004,0,40
101275200004,27,36
101276500004,40,25
101280000004,20,20
101280100004,0,6
101282100004,10,25
101282400004,20,28
101284600004,40,2
101285900004,30,35
101287800004,0,16
101289200004,20,43
101290200004,30,22
101291800004,0,10
101291900004,10,38
101293700004,9999,35
101296200004,0,6
101296300004,0,20
101296400004,20,35
101297100004,20,8
101300100004,10,11
101300200004,25,8
101301000004,10,23
101301200004,10,25
101302800004,10,43
101303800004,20,29
101304500004,0,27
101305300004,10,12
101305400004,0,31
101306600004,20,23
101307000004,0,4
101307300004,20,43
101309300004,0,42
101310900004,25,31
101312700004,10,30
101314000004,30,2
101317100004,20,26
101317400004,30,3
101319000004,10,42
101321600004,20,23
101322200004,20,5
101322300004,30,39
101326700004,20,39
101327600004,9,32
101329600004,30,33
101330200004,0,32
101332000004,30,33
101333700004,0,30
101335100004,30,22
101339300004,42,37
101344200004,30,39
101344400004,10,36
101346700004,9999,34
101347300004,37,30
101348100004,30,6
101348600004,0,27
101349200004,10,2
101350900004,0,15
101352300004,9999,3
101353300004,20,17
101353400004,0,25
101354100004,30,39
101356200004,30,33
101357100004,0,26
101357800004,7,35
101359600004,10,13
101359900004,30,10
101360500004,0,16
101364800004,5,34
101365000004,30,44
101365100004,10,44
101365300004,0,29
101368200004,0,12
101369100004,40,25
101372300004,10,25
101373000004,10,42
101373800004,10,25
101377800004,0,4
101378900004,0,20
101380800004,10,43
101381600004,7,21
101382900004,20,8
101384700004,30,7
101386700004,25,33
101387700004,2,25
101388300004,25,21
101388900004,9999,8
101389000004,27,14
101389500004,9999,4
101390700004,0,42
101393200004,10,39
101394200004,10,21
101396000004,10,22
101399300004,0,25
101400100004,20,14
101402700004,0,24
101404700004,30,1
101405000004,20,15
101405100004,30,34
101405200004,17,15
101405800004,27,1
101408200004,30,44
101409600004,40,25
101412500004,20,4
101412900004,37,8
101414300004,47,17
101420500004,40,35
101421600004,10,26
101422100004,10,31
101422300004,30,33
101424100004,30,43
101424300004,20,26
101426500004,10,12
101427800004,40,34
101429300004,9998,40
101433000004,25,15
101433500004,40,29
101433800004,30,25
101434300004,30,2
101435400004,9999,41
101435700004,30,31
101436000004,30,38
101436400004,30,22
101438300004,30,8
101439700004,30,44
101439800004,30,11
101440000004,20,1
101440100004,10,22
101441900004,0,12
101442700004,40,19
101442800004,10,17
101444300004,37,33
101444400004,37,33
101448700004,10,5
101450700004,15,38
101451100004,10,43
101452300004,30,1
101454700004,7,32
101456600004,40,10
101457900004,20,8
101458600004,30,8
101461600004,25,43
101462100004,40,23
101464600004,0,36
101465400004,40,41
101467800004,47,44
101469500004,30,26
101473700004,10,1
101482100004,0,40
101483600004,10,33
101485900004,25,21
101487300004,0,24
101488400004,0,25
101490900004,10,3
101491500004,30,13
101492800004,35,28
101493600004,30,41
101494700004,30,19
101494800004,30,30
101495400004,30,14
101497100004,30,24
101497800004,10,11
101499100004,0,29
101501200004,20,20
101502200004,0,10
101502800004,15,22
101503300004,30,33
101504900004,9998,10
101505500004,20,39
101506300004,10,3
101506600004,30,6
101509500004,0,25
101511300004,0,30
101512500004,0,22
101514000004,7,19
101514200004,10,5
101515200004,30,33
101519000004,30,39
101521000004,20,26
101522100004,9999,4
101524000004,20,1
101525800004,30,1
101525900004,37,17
101527800004,9998,13
101529500004,20,23
101529600004,25,8
101530800004,30,14
101531500004,30,36
101531600004,20,41
101533100004,20,42
101533400004,30,28
101533600004,30,6
101536300004,30,38
101536600004,42,43
101538500004,30,44
101540800004,7,11
101543900004,7,26
101544100004,0,24
101545900004,30,36
101546800004,30,1
101547300004,10,11
101550900004,20,44
101554500004,40,43
101554600004,30,28
101555600004,0,25
101556100004,37,33
101556700004,27,1
101558300004,37,1
101559800004,40,3
101561800004,35,28
101562200004,10,1
101563900004,30,19
101564700004,30,4
101565700004,37,40
101567000004,10,9
101567300004,30,38
101567700004,10,28
101568600004,10,41
101569800004,15,42
101570100004,25,1
101576500004,30,23
101578300004,30,5
101578400004,30,6
101579500004,30,34
101580000004,25,5
101580300004,35,38
101580800004,30,30
101583000004,0,36
101584100004,0,39
101584400004,30,34
101584700004,10,1
101584800004,30,41
101586800004,25,6
101595500004,30,42
101596200004,35,19
101596300004,9999,48
101598000004,40,4
